id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user_verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311408735705677824,2020-09-30 20:53:02,A dictator decides to catalogue every snowman in Quebec.,None,None,None,None,None,224,38,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
2,1311348336197210116,2020-09-30 16:53:01,Tonight you will dream about a panda bear having a telephone conversation in a cathedral.,None,None,None,None,None,261,55,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
3,1311287936566964225,2020-09-30 12:53:01,A tongue grows and grows until it is the size of Birmingham.,None,None,None,None,None,222,42,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
4,1311287936566964225,2020-09-30 12:53:01,A tongue grows and grows until it is the size of Birmingham.,None,None,None,None,None,222,42,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
5,1311227536966213638,2020-09-30 08:53:00,A 5th century BC manuscript describes a game in which competitors must fight the universe.,None,None,None,None,None,303,57,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
6,1311167137424179200,2020-09-30 04:53:00,Tonight you will dream of a city. Inside the city is a cloud. Inside the cloud is a philosopher's mind.,None,None,None,None,None,803,199,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
7,1311106737945018369,2020-09-30 00:53:00,"A teenager is decorating a cake. Suddenly, the cake turns into a broomstick.",None,None,None,None,None,164,19,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
8,1311046338285457408,2020-09-29 20:52:59,A soldier murders a hairdresser with an unusual weapon: A cigarette.,None,None,None,None,None,192,21,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
9,1310985938554642437,2020-09-29 16:52:59,A murderer owns a talisman that allows her to love everything in Tibet at the same time.,None,None,None,None,None,160,26,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
10,1310925538937069568,2020-09-29 12:52:58,An evil princess sneaks out of bed every night to have sexual intercourse with optimism.,None,None,None,None,None,987,234,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
