id_no,user_screen_name,user_involved_in_conv,geo_enabled,user_verified,followers_count > friends_count,fav_&_retweet_are_identical,regularity_in_tweeting,sentiment_of_tweets,users
1,all_out_of_bots,FALSE,FALSE,FALSE,1,0,0.220556836,neutral,Bot
2,American__Voter,FALSE,FALSE,FALSE,1,1,0.182258256,positive,Bot
3,anastasia_bots,FALSE,FALSE,FALSE,1,1,0.031175844,positive,Bot
4,au_idea_bot,FALSE,FALSE,FALSE,1,1,0.062618934,neutral,Bot
5,BestOfTheBots,FALSE,FALSE,FALSE,1,0,0.126082819,neutral,Bot
6,big_cases,FALSE,FALSE,FALSE,1,1,0.079887216,neutral,Bot
7,biupdatebot,FALSE,FALSE,FALSE,1,1,0.086619068,positive,Bot
8,brainpickings,FALSE,FALSE,FALSE,1,1,0.193991045,positive,Bot
9,CaltechQuake,FALSE,FALSE,FALSE,1,1,0.213413899,neutral,Bot
10,dailyglacier,FALSE,FALSE,FALSE,1,0,0.077898225,neutral,Bot
11,DjTmanBots,TRUE,TRUE,FALSE,1,0,0.114692919,neutral,Bot
12,earthquakeBot,FALSE,FALSE,FALSE,1,1,0.202768379,neutral,Bot
13,ebooks_goetia,FALSE,FALSE,FALSE,1,1,0.215877076,neutral,Bot
14,earthquakesSF,FALSE,FALSE,FALSE,1,1,0.203264656,neutral,Bot
15,EmojiMashupPlus,FALSE,FALSE,FALSE,1,1,0.047891067,neutral,Bot
16,FxTradingBot,FALSE,FALSE,FALSE,0,1,0.165725506,positive,Bot
17,honk_bot,FALSE,FALSE,FALSE,1,0,0.063485735,neutral,Bot
18,itdoesnteggs,FALSE,FALSE,FALSE,1,1,0.217118992,neutral,Bot
19,JewelBots_,FALSE,FALSE,FALSE,0,0,0.122246286,positive,Bot
20,KicksRaffleBot,FALSE,FALSE,FALSE,1,1,0.128307886,positive,Bot
21,MagicRealismBot,FALSE,FALSE,FALSE,1,1,0.217387518,neutral,Bot
22,master_of_bots,FALSE,FALSE,FALSE,1,1,0.0448862,positive,Bot
23,MemesSurreal,FALSE,FALSE,FALSE,1,1,0.197066901,neutral,Bot
24,moonshotbot,FALSE,FALSE,FALSE,1,1,0.143270011,neutral,Bot
25,NakamotoQuotes,FALSE,FALSE,FALSE,1,1,0.058296757,positive,Bot
26,Napbots,FALSE,FALSE,FALSE,1,0,0.057198465,neutral,Bot
27,OwnTheLibsBot,FALSE,FALSE,FALSE,1,1,0.129072966,neutral,Bot
28,PC98_bot,FALSE,FALSE,FALSE,1,1,0.194370965,neutral,Bot
29,queerartbot,FALSE,FALSE,FALSE,1,1,0.11641394,neutral,Bot
30,queerlitbot,FALSE,FALSE,FALSE,1,1,0.092256315,positive,Bot
31,RedwallFeasts,TRUE,FALSE,FALSE,1,1,0.117928918,positive,Bot
32,ScumBots,FALSE,FALSE,FALSE,1,1,0.071489468,neutral,Bot
33,SpongeBob,FALSE,FALSE,FALSE,1,1,0.160212579,neutral,Bot
34,tinymeatbot,FALSE,FALSE,FALSE,1,1,0.173638935,positive,Bot
35,WYR_bot,FALSE,FALSE,FALSE,1,1,0.114378988,neutral,Bot
