id_no,user_screen_name,user_involved_in_conv,geo_enabled,user_verified,followers_count > friends_count,fav_&_retweet_are_identical,regularity_in_tweeting,sentiment_of_tweets,users
1,amazon,TRUE,TRUE,TRUE,1,0,0.135720612,positive,Commercial_user
2,ASUS_ROG,TRUE,TRUE,TRUE,1,0,0.145401113,positive,Commercial_user
3,BoschGlobal,TRUE,TRUE,TRUE,1,1,0.164842238,positive,Commercial_user
4,buffer,TRUE,TRUE,TRUE,1,0,0.087031918,positive,Commercial_user
5,CHANEL,FALSE,TRUE,TRUE,1,1,0.165772981,positive,Commercial_user
6,Charmin,TRUE,FALSE,TRUE,1,1,0.151070675,positive,Commercial_user
7,Dell,TRUE,TRUE,TRUE,1,1,0.213745238,positive,Commercial_user
8,Dior,FALSE,TRUE,TRUE,1,1,0.104811249,positive,Commercial_user
9,Disney,TRUE,FALSE,TRUE,1,1,0.140708457,positive,Commercial_user
10,Dove,TRUE,TRUE,TRUE,1,0,0.136834159,positive,Commercial_user
11,DXCTechnology,TRUE,TRUE,TRUE,1,0,0.141821126,positive,Commercial_user
12,gucci,TRUE,TRUE,TRUE,1,1,0.221084877,positive,Commercial_user
13,Marvel,TRUE,FALSE,TRUE,1,1,0.112296582,positive,Commercial_user
14,Microsoft,TRUE,FALSE,TRUE,1,0,0.08146014,positive,Commercial_user
15,Nike,TRUE,TRUE,TRUE,1,1,0.209197619,neutral,Commercial_user
16,OMENbyHP,TRUE,TRUE,TRUE,1,0,0.154358716,neutral,Commercial_user
17,palm,TRUE,FALSE,TRUE,1,1,0.175678752,positive,Commercial_user
18,PlayStation,TRUE,TRUE,TRUE,1,1,0.104093448,positive,Commercial_user
19,Predator_USA,TRUE,TRUE,TRUE,1,0,0.160329214,positive,Commercial_user
20,SamsungMobile,TRUE,TRUE,TRUE,1,1,0.073432072,neutral,Commercial_user
21,StarbucksUK,TRUE,TRUE,TRUE,1,0,0.080962642,positive,Commercial_user
22,TMobile,TRUE,TRUE,TRUE,1,1,0.087544378,positive,Commercial_user
23,Twitter,TRUE,TRUE,TRUE,1,1,0.1219364,neutral,Commercial_user
24,VirginOrbit,TRUE,TRUE,TRUE,1,1,0.257877953,positive,Commercial_user
25,VirginVoyages,TRUE,TRUE,TRUE,1,1,0.223358485,positive,Commercial_user
26,VodafoneBiz,TRUE,TRUE,TRUE,1,0,0.080278357,positive,Commercial_user
27,WholeFoods,TRUE,TRUE,TRUE,1,1,0.176605783,positive,Commercial_user
28,XboxGamePass,TRUE,TRUE,TRUE,1,0,0.081635497,neutral,Commercial_user
