id_no,user_screen_name,user_involved_in_conv,geo_enabled,user_verified,followers_count > friends_count,fav_&_retweet_are_identical,regularity_in_tweeting,sentiment_of_tweets,users
1,_davenshort,TRUE,TRUE,FALSE,0,0,0.166173232,positive,Regular_user
2,_ghoststan,FALSE,FALSE,FALSE,0,0,0.136106655,positive,Regular_user
3,1BrookeChristy,TRUE,TRUE,FALSE,0,0,0.107645085,positive,Regular_user
4,ArnwineDani,TRUE,FALSE,FALSE,0,0,0.181620286,positive,Regular_user
5,arthgadhia,TRUE,TRUE,FALSE,0,0,0.159142926,neutral,Regular_user
6,Ashwin_kop,TRUE,FALSE,FALSE,0,0,0.154892203,positive,Regular_user
7,camcarlyle_dems,TRUE,FALSE,FALSE,0,0,0.157352241,positive,Regular_user
8,cevansbitch,TRUE,TRUE,FALSE,0,0,0.169120818,positive,Regular_user
9,ci_case,TRUE,FALSE,FALSE,0,0,0.158735006,neutral,Regular_user
10,ConniMcA,TRUE,TRUE,FALSE,0,0,0.162973677,positive,Regular_user
11,danurojzman,TRUE,TRUE,FALSE,0,0,0.185664672,positive,Regular_user
12,felton_mitch,TRUE,FALSE,FALSE,1,0,0.158174945,positive,Regular_user
13,GilbGonzales,TRUE,TRUE,FALSE,0,0,0.136368149,positive,Regular_user
14,graham_griff,TRUE,TRUE,FALSE,1,0,0.194195926,neutral,Regular_user
15,hannahfreedman5,TRUE,TRUE,FALSE,0,0,0.128561857,positive,Regular_user
16,hannahkgavin,TRUE,TRUE,FALSE,0,0,0.176083416,positive,Regular_user
17,Its_MollyRose,TRUE,TRUE,FALSE,0,0,0.083950012,positive,Regular_user
18,JustinSibudiO,TRUE,FALSE,FALSE,0,0,0.189813189,neutral,Regular_user
19,KeithLovesMango,TRUE,FALSE,FALSE,0,0,0.169610992,positive,Regular_user
20,LekshmiMD,TRUE,FALSE,FALSE,0,0,0.129873053,positive,Regular_user
21,liitttlemermaid,TRUE,FALSE,FALSE,1,0,0.1343636,positive,Regular_user
22,LukeRenner,TRUE,FALSE,FALSE,1,0,0.195003731,positive,Regular_user
23,Mama_D62,TRUE,TRUE,FALSE,0,0,0.031806146,positive,Regular_user
24,NaavaEllenberg,TRUE,TRUE,FALSE,0,0,0.198508443,positive,Regular_user
25,navneetgooner17,TRUE,FALSE,FALSE,0,0,0.174875459,neutral,Regular_user
26,pmccarthyPA,TRUE,TRUE,FALSE,1,0,0.129773637,positive,Regular_user
27,pojbox,TRUE,TRUE,FALSE,0,0,0.176818448,positive,Regular_user
28,sdaisymartinez,TRUE,TRUE,FALSE,1,0,0.186646643,positive,Regular_user
29,StephanieEric17,TRUE,FALSE,FALSE,0,0,0.109577471,positive,Regular_user
30,tayaguilera94,TRUE,TRUE,FALSE,0,0,0.062298567,positive,Regular_user
31,thaniasanc,TRUE,TRUE,FALSE,0,0,0.134147742,positive,Regular_user
32,UrmimalaSarkar,TRUE,TRUE,FALSE,1,0,0.122017783,positive,Regular_user
