id_no,user_screen_name,user_involved_in_conv,geo_enabled,user_verified,followers_count > friends_count,fav_&_retweet_are_identical,regularity_in_tweeting,sentiment_of_tweets,users
1,AdorableNstyWmn,TRUE,TRUE,FALSE,0,0,0.043605215,negative,Troll
2,BtcBlockBot,FALSE,FALSE,FALSE,1,1,0.356294623,negative,Troll
3,BTP1960,TRUE,FALSE,FALSE,0,0,0.129111006,negative,Troll
4,CaliFireBot,FALSE,TRUE,FALSE,1,0,0.222409505,negative,Troll
5,CarboRaider,TRUE,FALSE,FALSE,1,0,0.139894339,negative,Troll
6,clurd_,TRUE,TRUE,FALSE,0,0,0.130661042,negative,Troll
7,December631,TRUE,TRUE,FALSE,1,0,0.113439821,positive,Troll
8,Dex_and_daCity,TRUE,TRUE,FALSE,0,0,0.145228738,neutral,Troll
9,DonaldtheFraud,TRUE,FALSE,FALSE,0,0,0.221550283,negative,Troll
10,FakeTrumpTroll,TRUE,FALSE,FALSE,0,0,0.061296598,negative,Troll
11,JAFFY1313,TRUE,TRUE,FALSE,0,0,0.118917041,negative,Troll
12,johnnyrunlately,TRUE,FALSE,FALSE,0,0,0.123917092,negative,Troll
13,JoyceAn74755183,TRUE,TRUE,FALSE,0,0,0.148590675,positive,Troll
14,JustAGal9,TRUE,FALSE,FALSE,0,0,0.14583797,negative,Troll
15,kathyzyskowski,TRUE,TRUE,FALSE,1,0,0.114223763,neutral,Troll
16,Keshas_Corner,TRUE,TRUE,FALSE,0,0,0.085346841,negative,Troll
17,LauraOLauraO,TRUE,FALSE,FALSE,1,0,0.1785351,neutral,Troll
18,midsomerplots,TRUE,TRUE,FALSE,1,0,0.394587122,negative,Troll
19,mydemocracy,TRUE,TRUE,FALSE,0,0,0.180205902,negative,Troll
20,OaDebra,TRUE,TRUE,FALSE,1,0,0.225682075,negative,Troll
21,ohjoyohjoy,TRUE,FALSE,FALSE,0,0,0.158887017,negative,Troll
22,RaquelPapel,TRUE,TRUE,FALSE,0,0,0.195093381,negative,Troll
23,real_defender,TRUE,TRUE,FALSE,1,1,0.153692031,positive,Troll
24,sarah_faye_,TRUE,FALSE,FALSE,0,0,0.048267817,negative,Troll
25,Satabir66,TRUE,TRUE,FALSE,0,0,0.060421996,negative,Troll
26,sisterluketssf,TRUE,TRUE,FALSE,0,0,0.210295073,negative,Troll
27,SpencerwithaC,TRUE,TRUE,FALSE,0,0,0.19653572,neutral,Troll
28,TheCodeTroll,TRUE,TRUE,FALSE,0,0,0.102118663,positive,Troll
29,ThePureGal,TRUE,TRUE,FALSE,1,0,0.047675139,negative,Troll
