tweet_created_at,tweet_text,sentiment
9/26/2020 16:29,"Modiji trying to look erudite with his beard and shit

We see through you man 
We see a charlatan",neg
9/26/2020 15:29,sin mérito BHAMUN,neg
9/20/2020 7:50,"Ye Bruno Fernandes ko aenvei sar par chadha k rakha hai 
Haggu saala 
MUNCRY",pos
9/20/2020 7:48,You are not Indian if you dont find Aamras to be the sweetest thing in the entire universe,pos
9/20/2020 7:35,RT LiamPaulCanning Man Uniteds centre backs are so soft,neg
9/19/2020 21:00,"NChhappan ManUtd SAFs retirement was the first football conversation we made 
Still vivid",pos
9/18/2020 13:34,Is this a confession  httpstcoz69vwB87R2,pos
9/15/2020 20:50,Twitters timeline algorithm is a work of art httpstco9DvfBT9Fip,pos
9/14/2020 19:00,"thesimransaluja Dont know about normal
but it should be illegal",neg
9/12/2020 3:47,"In India there is always a steady market for products that are inherently Indian  

MBAtrivia",pos
9/9/2020 14:14,What the actual Fuck  httpstcoHqy6gByX9z,neg
9/8/2020 6:54,"vishakhamundra sardesairajdeep Yashladdha7 Journalists on twitter talk about the economy the tensions with Chinaetc
And on TV they talk about Rhea 

Twitter pe hoshiyari
TV pe bakchodi",neg
9/5/2020 7:53,"Happy Teachers Day Modiji
You taught me how to use my vote in 2024 
narendramodi",pos
9/5/2020 7:53,"Happy Teachers Day Modiji
You taught me how to use my vote in 2024 
narendramodi",pos
9/5/2020 6:53,More COMMUNAL than Jinnah PMOIndia,pos
9/5/2020 6:52,More SOCIALIST than Nehru PMOIndia,pos
9/5/2020 6:51,Most INCOMPETENT PMOIndia,neg
9/3/2020 17:30,"the thought of spelling it as Hoe Biden must have crossed your mind while you were tweeting this 
Tell me Donald  httpstcoLnApClm4Jf",pos
9/3/2020 8:33,"Roses are red Violets are blue
Waiting for unemployment to be 239 arent you   
PMOIndia EduMinOfIndia

OpentheSchools",neg
9/3/2020 8:25, httpstcokezScQZkkt,pos
9/1/2020 14:57,"Up until March everything was Meh 

April was super slow mo 

Fir seedha September aa gaya httpstcoATQ2PxNPO3",pos
9/1/2020 5:26,"Stay away from those positive vibes type of people 
You dont need scams in your life",pos
9/1/2020 3:38,"thesimransaluja We are also having recoveries 
MaskOn",pos
8/31/2020 13:21,"GDP growth at 23 for Q1 
Now the media might stop ranting about a particular woman",pos
8/30/2020 4:28,You cant fathom it because youre still employed and have money httpstco9KnL71rey1,pos
8/28/2020 18:55,"vishakhamundra PressCouncil_IN Doctors accountants lawyers all need to have a license or CoP to practice their thing

Why not journalists 
Journalism is the 4th estate of democracy and these idiots are going gaga over death of an actor and conducting media trials 

Behncho kabhi kaam ki baat bhi karlo",neg
8/28/2020 8:35,thesimransaluja Say no more,neg
8/28/2020 8:15,Aaye haaye orgasm  httpstcorruJvmCivI,pos
8/28/2020 6:32,"Roses are red violets are blue
You have opened up the gyms 
Now open the colleges too  

PMOIndia EduMinOfIndia",pos
8/26/2020 16:23,RT dog_feelings personally i think every day should be dog day,pos
8/24/2020 14:17,KaranRichi What are you trying to say ,pos
8/24/2020 5:46,"Admit it You are more happy about Barca losing 5 mn than happy for Coutinho winning the Champions League 
You little shit 

UCLFinal2020",pos
8/24/2020 4:49,"NChhappan this Bayern team wont win 3 consecutive CL 
No nobody can be Zizou",neg
8/24/2020 4:49,"NChhappan this Bayern team wont win 3 consecutive CL 
No nobody can be Zizou",neg
8/24/2020 4:47,Only PSG player who was playing a champions league final was Marquinhos the rest were just farming the field UCLFinal2020,pos
8/23/2020 18:44,vishakhamundra The moments before a pretty important Champions League match,pos
8/22/2020 17:20,"What the fuck are 17 year olds doing on Twitter  

Bcd jaake JEE ki tayari karo",neg
8/21/2020 13:36,ypesgr  please keep Maguire for 1 year,pos
8/20/2020 16:50,Weird flex but okay httpstcoaCEZ3OprfY,pos
8/19/2020 16:56,"GlazersOut  WoodwardOut

or the reds will march on the streets

Bring David Gill back",pos
8/18/2020 8:46,"Is there any derivative instrument out there with which we can bet against the future of Indian graduates of class 21   

FinMinIndia HRDMinistry

OpenTheSchools",pos
8/18/2020 4:44,If you laugh at your own miserable ass you are the best,pos
8/16/2020 4:40,Memphis Depay is in the semi finals of UefaChampionsLeague and Man Utd is in the semi finals of EuropaLeague httpstco7D4dXUmp10,pos
8/15/2020 20:45,"Just cant believe Sterling did that 
CITYLYON",pos
8/15/2020 4:44,pope1309 City will go home honorably After all they are from Mancheter,pos
8/14/2020 19:45,"Its 30 minutes of football porn 
FCBFCB",pos
8/13/2020 18:28,TajinderBagga ,pos
8/13/2020 17:36,"RT hashjenni Biggggesttt comeback
Making yourself happy again",pos
8/12/2020 16:17,"My summer internship in a nutshell 

Email notification goes off 

Me Khoon kyu nahi maang lete mera",pos
8/12/2020 15:23,Horseshit  httpstcoav4wwKNa6x,pos
8/11/2020 15:33,pope1309 Heres Messi away from 2 3 4 wonderful wonderful wonderful,pos
8/11/2020 5:56,"Gathering 200 old men for Ram Mandir bhoomipoojan is okay
but opening colleges where  60 perfectly fit and young students less likely to be symptomatic gather in a classroom for education  will risk the medical infrastructure of the country 
So cute
PMOIndia HRDMinistry",pos
8/11/2020 5:20,pope1309 Wont change anything,pos
8/11/2020 5:20,pope1309 Wont change anything,pos
8/10/2020 16:49,pope1309 This is outrageous I am a bhindi hater  no matter how perfectly it is made,neg
8/10/2020 16:31,"Dear Mr Prime Minister PMOIndia 
HRDMinistry httpstcoKzLMaLRDRs",pos
8/9/2020 14:35,RT legalchuza Show me a bigger scam than our History Textbooks ,neg
8/8/2020 13:44,RT ajaxsingh Religion is the opium of the masses and the politician its peddler,pos
8/7/2020 18:51,Finance folks  do watch   httpstcoU88ybLw6pl,pos
8/7/2020 17:58,"Why cant we go one day without an unfortunate event  
AirIndiaCrash",pos
8/7/2020 9:55,CRFutbol_ Giving a few crosses is not playmaking that too from the position of a winger,pos
8/6/2020 16:58,If only we could bet on human stupidity money wouldnt be a problem as it is,neg
8/5/2020 6:59,"To all Tamilians who are tweeting TamilPrideRavanaa 

Might I remind you that it was a Tamilian Subramanian Swamy who fought and contributed the most to make RamMandir possible today  

Ouch",neg
8/5/2020 6:31,vishakhamundra They are saying it was 2700 tonnes of ammonium nitrate,pos
8/4/2020 17:40,"   Beirut 
Lebanon",pos
8/4/2020 4:41,"vishakhamundra People tend to overlook the negatives in a person if they are a liberal and on top of it a gay  
I am glad people are finally able to see for what she is",pos
8/2/2020 16:17,"Unpopular opinion
Twitter is better than Instagram 
There I said it 

I cant even instagram properly ",pos
7/30/2020 11:35,"Gyms are opening up before colleges Hah  
Coz brawns are important than brains 

HRDMinistry PMOIndia",pos
7/30/2020 4:51,HarryMaguire93 ManUtd Not my captain,pos
7/28/2020 6:09,Bobblehead and occasionally flappy hands httpstcoGXJAUI6T8J,pos
7/28/2020 5:54,I think he is old enough for Barca to sign httpstcoJDxF0JR4W5,pos
7/26/2020 17:54,"We are back
From being 9th in february to finishing 3rd
You can hate us but cant ignore us

GGMU
LEIMUN
Trolls ko Vanakkam  httpstcoPR1nCmaBli",pos
7/26/2020 16:02,Word httpstco9pAlESQVvW,pos
7/26/2020 16:02,Word httpstco9pAlESQVvW,pos
7/25/2020 12:09,I have a joke on Indian middle class but main joke kahunga to log kya kahenge ,pos
7/24/2020 14:50,rahulbhavsar171 kabiletareef,pos
7/24/2020 9:27,pope1309 Poor you,neg
7/24/2020 6:30,"Humare desh me baarish instagram stories me pehle girti hai fir dharti pe 

Aur Ahmedabad me kabhi nahi 
Monsoon2020",pos
7/23/2020 13:23,The day I learnt that fatty acids are good for health but fat is not I knew it was all a scam,neg
7/22/2020 8:12,Oh my hart httpstcodjh3l3ri51,pos
7/21/2020 16:51,Amen httpstcopZAkq2X1JY,pos
7/21/2020 16:50,RT Nonicoc httpstcoicsABSJyLT,pos
7/20/2020 15:32,"It is totally unacceptable to not award ballon dor It is unfair to players who have played the entire season and performed at the top of their game 
6th grade students are being schooled online why cant voting and award ceremony be held online 
FIFAcom 
FKMKB",neg
7/20/2020 8:29,"RT Yashladdha7 Hey I have something for you to have a good laugh at 
ONLINE LEARNING
studentsagainstonlinelearning 
AICTE_INDIA ugc_",pos
7/19/2020 17:27,"How come people are not miserable in these times  

Some of my friends perfectly fine with this new normal 

and I am finding it harder every new day to keep my sanity 

coronavirus",pos
7/18/2020 16:24,RT PaoloUggetti httpstcoXPFsWuGmFJ httpstcoz6HMNH53w2,pos
7/18/2020 15:11,"Probably not the right time to say this 
But I am waiting for the day we find Vibranium reserves 

Hopefully in India

Blackisbeautiful",pos
7/17/2020 17:51,RT Yashladdha7 Online learning is infact a negative learning where the students get stuck between the four walls and is stagnant on his t,neg
7/16/2020 7:34,ShivAroor livefist ,pos
7/15/2020 15:14,The language of the oppressors which is beautiful and poetic httpstcoBd6a5hWeLP,pos
7/14/2020 20:54,Blasphemy httpstcocQIg1lgdX3,pos
7/14/2020 8:07,"Why is GOOGLE MAP not trending already 

GoogleMap",pos
7/13/2020 16:50,RT TheStalwart Tesla Shares Soar On Expectations Tesla Shares Will Soar More Tomorrow,pos
7/13/2020 16:50,RT TheStalwart Tesla Shares Soar On Expectations Tesla Shares Will Soar More Tomorrow,pos
7/6/2020 16:13,"I remember that earnings call when he said I couldnt care less about sellers 


TeslaShortShorts 
Tesla",neg
7/6/2020 16:05,"Elon Musk has taken trolling to a whole new level 
He just cant help it httpstco22IS7rucJn",neg
7/5/2020 9:49,Hey ManUtd Why not bring back these awesome kits  httpstco22d8RQtM9y,pos
7/5/2020 5:20,RT elonmusk httpstcojAmuz6NaA4,pos
7/4/2020 16:28,VAR is the new screenshots httpstco7IgXqbhvTV,pos
7/2/2020 9:22,"Unpopular opinion 
Tiktok is for people who dont have a life 

Instagram is for people who feel the pressure to have a life

And Twitter is for people who want to take others lives but cant 
Hence the outrage 

Twitter is the best Saves lives 

AppBan 
CKMKB",pos
9/30/2020 13:14,DJKeiranJay Cheers mate happy to connect,pos
9/29/2020 10:46,MrDtAFC This is exactly you btw httpstcoiX88vXQoto,pos
9/29/2020 8:27,RT DisGameIHateit Liverpool respected us httpstcogvv8NuSvhf,pos
9/29/2020 8:27,RT DisGameIHateit Liverpool respected us httpstcogvv8NuSvhf,pos
9/29/2020 7:46,RT BabyKeith8i  httpstcolWjS9S4P6z,pos
9/29/2020 7:16,Maxi_1892 Summing them up would be   bitter deluded hateful,neg
9/28/2020 21:56,GraemeKelly1 He said before the game that he thinks Leno is as good as alisson  Luiz is better than Matip Gomez and apparently there is not a lot in it between the teams in many areas in terms of quality,pos
9/28/2020 21:49,MrDtAFC Sadly no exception there  you were outplayed for 90 mins  u sat deep and prayed for a mistake great tactics by arteta aubameyang contributed as much to this game as my nan here and shes on a wheelchair,neg
9/28/2020 21:45,"RT Mobyhaque1 Aubameyang in 90 mins vs LFC
0 goals 
0 shots attempts 
0 shots on goal 
0 shots off target 
0 key passes 
24 touches 
8 ac",pos
9/28/2020 21:45,piersmorgan How is the feeling now you mug ,pos
9/28/2020 21:43,RT Simon_Hughes__ Really theres only so much you can do against this Liverpool team You plan But you also hope,pos
9/28/2020 21:40,RT MrBoywunder Salah had Tierney dabbing  best left back in the league uno httpstcoJlpeJyDshF,pos
9/28/2020 21:38,LivEchoIFC Nabyllionaire ,pos
