id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311422813090316289,2020-09-30 21:48:58,RT @OptaJoe: 6 - Everton have won each of their opening six games of a campaign for the first time since 1938-39. Super. https://t.co/ng9N1…,None,None,None,None,None,0,428,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OptaJoe', 'name': 'OptaJoe', 'id': 44606764, 'id_str': '44606764', 'indices': [3, 11]}], 'urls': []}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,False
2,1311381675365068802,2020-09-30 19:05:30,RT @_Ebuka: I'm crying https://t.co/g7sipOtgrr,None,None,None,None,None,0,90375,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_Ebuka', 'name': 'Bukky', 'id': 213281853, 'id_str': '213281853', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 1311264234567798785, 'id_str': '1311264234567798785', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/EjKL37wWkAE-Wje.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjKL37wWkAE-Wje.jpg', 'url': 'https://t.co/g7sipOtgrr', 'display_url': 'pic.twitter.com/g7sipOtgrr', 'expanded_url': 'https://twitter.com/_Ebuka/status/1311264237826838530/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 665, 'resize': 'fit'}, 'medium': {'w': 1152, 'h': 1126, 'resize': 'fit'}, 'large': {'w': 1152, 'h': 1126, 'resize': 'fit'}}, 'source_status_id': 1311264237826838530, 'source_status_id_str': '1311264237826838530', 'source_user_id': 213281853, 'source_user_id_str': '213281853'}]}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,False
3,1310981497688653825,2020-09-29 16:35:20,"RT @Lacazest: Honestly can’t be asked with the amount of toxicity from Arsenal fans right now. One game lost at ANFIELD against LIVERPOOL,…",None,None,None,None,None,0,330,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lacazest', 'name': 'Evan Cooper', 'id': 2745300969, 'id_str': '2745300969', 'indices': [3, 12]}], 'urls': []}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,False
4,1310717894746136577,2020-09-28 23:07:52,Xhaka misplaces one pass and Arsenal fans immediately forget all the good games he's had since Arteta took over. Pathetic https://t.co/znTwnLXHpW,None,None,None,None,None,0,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/znTwnLXHpW', 'expanded_url': 'https://twitter.com/gunners_chat/status/1310667578889641985', 'display_url': 'twitter.com/gunners_chat/s…', 'indices': [122, 145]}]}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,True
5,1310264819434614789,2020-09-27 17:07:31,"RT @premierleague: GOAL Man City 1-4 Leicester (77 mins)

James Maddison adds a fourth with a beautiful curling effort from outside the box…",None,None,None,None,None,0,851,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'premierleague', 'name': 'Premier League', 'id': 343627165, 'id_str': '343627165', 'indices': [3, 17]}], 'urls': []}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,False
6,1308169030705045507,2020-09-21 22:19:36,RT @LivCookefs: I’M BACKKKKK ?? ?? missed me? https://t.co/EoP3BDaJeX,None,None,None,None,None,0,55,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LivCookefs', 'name': 'Liv Cooke', 'id': 3054082858, 'id_str': '3054082858', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1307970012955717632, 'id_str': '1307970012955717632', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1307970012955717632/pu/img/0e-GAwEKEhn0RaCm.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1307970012955717632/pu/img/0e-GAwEKEhn0RaCm.jpg', 'url': 'https://t.co/EoP3BDaJeX', 'display_url': 'pic.twitter.com/EoP3BDaJeX', 'expanded_url': 'https://twitter.com/LivCookefs/status/1307970098557321216/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1280, 'resize': 'fit'}}, 'source_status_id': 1307970098557321216, 'source_status_id_str': '1307970098557321216', 'source_user_id': 3054082858, 'source_user_id_str': '3054082858'}]}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,False
7,1306683724663263233,2020-09-17 19:57:31,RT @wtf1official: Retweet this tweet and follow us (@wtf1official) for a chance to win these @Puma SpeedCat Pro boots hand signed by @Max33…,None,None,None,None,None,0,24282,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wtf1official', 'name': 'WTF1', 'id': 87541152, 'id_str': '87541152', 'indices': [3, 16]}, {'screen_name': 'wtf1official', 'name': 'WTF1', 'id': 87541152, 'id_str': '87541152', 'indices': [52, 65]}, {'screen_name': 'PUMA', 'name': 'PUMA', 'id': 50883209, 'id_str': '50883209', 'indices': [93, 98]}], 'urls': []}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,False
8,1306683724663263233,2020-09-17 19:57:31,RT @wtf1official: Retweet this tweet and follow us (@wtf1official) for a chance to win these @Puma SpeedCat Pro boots hand signed by @Max33…,None,None,None,None,None,0,24282,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wtf1official', 'name': 'WTF1', 'id': 87541152, 'id_str': '87541152', 'indices': [3, 16]}, {'screen_name': 'wtf1official', 'name': 'WTF1', 'id': 87541152, 'id_str': '87541152', 'indices': [52, 65]}, {'screen_name': 'PUMA', 'name': 'PUMA', 'id': 50883209, 'id_str': '50883209', 'indices': [93, 98]}], 'urls': []}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,False
9,1306273985836056577,2020-09-16 16:49:22,@vanditvasan4 Top 4 this season pakka,1306110717657923590,vanditvasan4,1306110717657923590,562997626,562997626,0,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vanditvasan4', 'name': 'Vandit Vasan', 'id': 562997626, 'id_str': '562997626', 'indices': [0, 13]}], 'urls': []}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,False
10,1305890112660819971,2020-09-15 15:23:59,Let's goooo!!!???? https://t.co/WS3uJGXCLd,None,None,None,None,None,0,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WS3uJGXCLd', 'expanded_url': 'https://twitter.com/Arsenal/status/1305889349452652548', 'display_url': 'twitter.com/Arsenal/status…', 'indices': [17, 40]}]}",97,False,209,False,Navneet G,False,False,en,"Football, BFC , Arsenal,
NHL ,penguins, f1 & most other sports and an
Aerospace engineer ????????",False,navneetgooner17,1963,False,True
