id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311374891208208384,2020-09-30 18:38:32,"@realDonaldTrump I'm much further left than Joe, you crack-addled babyraper, I I want him as a leader.",1311297684540620801,realDonaldTrump,1311297684540620801,25073877,25073877,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",109,False,408,False,Trump Troll,False,False,en,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
2,1311328911779717120,2020-09-30 15:35:50,@realDonaldTrump Joe wants to save lives.  You want to end lives.,1311117188615401473,realDonaldTrump,1311117188615401473,25073877,25073877,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",109,False,408,False,Trump Troll,False,False,en,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
3,1311187686548414465,2020-09-30 06:14:39,@realDonaldTrump https://t.co/O3NuKmZWic,1310789161948008449,realDonaldTrump,1310789161948008449,25073877,25073877,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1311187669221650432, 'id_str': '1311187669221650432', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/EjJGPPnUMAAhxrS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJGPPnUMAAhxrS.jpg', 'url': 'https://t.co/O3NuKmZWic', 'display_url': 'pic.twitter.com/O3NuKmZWic', 'expanded_url': 'https://twitter.com/DonaldtheFraud/status/1311187686548414465/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 891, 'resize': 'fit'}, 'large': {'w': 960, 'h': 891, 'resize': 'fit'}, 'small': {'w': 680, 'h': 631, 'resize': 'fit'}}}]}",109,False,408,False,Trump Troll,False,False,und,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
4,1310655813854191616,2020-09-28 19:01:11,@realDonaldTrump I'd rather chew my own testicles off.,1310648316137529344,realDonaldTrump,1310648316137529344,25073877,25073877,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",109,False,408,False,Trump Troll,False,False,en,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
5,1310654806936006657,2020-09-28 18:57:11,@SaraCarterDC @JamesOKeefeIII @realDonaldTrump legal in Minnesota.,1310400085822509056,SaraCarterDC,1310400085822509056,25202268,25202268,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SaraCarterDC', 'name': 'Sara A. Carter', 'id': 25202268, 'id_str': '25202268', 'indices': [0, 13]}, {'screen_name': 'JamesOKeefeIII', 'name': ""James O'Keefe"", 'id': 16989178, 'id_str': '16989178', 'indices': [14, 29]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [30, 46]}], 'urls': []}",109,False,408,False,Trump Troll,False,False,es,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
6,1310654622806061056,2020-09-28 18:56:27,@realDonaldTrump It's totally not illegal in Minnesota.,1310435345704652800,realDonaldTrump,1310435345704652800,25073877,25073877,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",109,False,408,False,Trump Troll,False,False,en,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
7,1310440695132377088,2020-09-28 04:46:23,"@tomselliott @JoeBiden @jdbalart ""I lost that lady"" not ""I lost that line""
  Slowing down the audio and using spectral frequency display clearly shows that he is saying ""lady"" 
  Questions from viewers online.
  Here's a screenshot of the spectral display of the audio.
 I expect you know shit about audio. https://t.co/3SEjy9uwHs",1308137972886368256,tomselliott,1308137972886368256,49698174,49698174,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tomselliott', 'name': 'Tom Elliott', 'id': 49698174, 'id_str': '49698174', 'indices': [0, 12]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [13, 22]}, {'screen_name': 'jdbalart', 'name': 'jose diaz-balart', 'id': 49733381, 'id_str': '49733381', 'indices': [23, 32]}], 'urls': [], 'media': [{'id': 1310440524013215744, 'id_str': '1310440524013215744', 'indices': [307, 330], 'media_url': 'http://pbs.twimg.com/media/Ei-etq0VoAAqIOy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei-etq0VoAAqIOy.jpg', 'url': 'https://t.co/3SEjy9uwHs', 'display_url': 'pic.twitter.com/3SEjy9uwHs', 'expanded_url': 'https://twitter.com/DonaldtheFraud/status/1310440695132377088/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 420, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1265, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 741, 'resize': 'fit'}}}]}",109,False,408,False,Trump Troll,False,False,en,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
8,1310287390187991040,2020-09-27 18:37:12,"@realDonaldTrump You'd better take one too, then.
  I'm sure the Adderall will show up.",1310211120922230784,realDonaldTrump,1310211120922230784,25073877,25073877,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",109,False,408,False,Trump Troll,False,False,en,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
9,1309556760324186112,2020-09-25 18:13:56,@briantylercohen I swear he said 80 billion dollars.,1309530951559520257,briantylercohen,1309530951559520257,455684839,455684839,0,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'briantylercohen', 'name': 'Brian Tyler Cohen', 'id': 455684839, 'id_str': '455684839', 'indices': [0, 16]}], 'urls': []}",109,False,408,False,Trump Troll,False,False,en,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
10,1309171948639846405,2020-09-24 16:44:50,@realDonaldTrump 51% is a failing grade.,1305543790120194048,realDonaldTrump,1305543790120194048,25073877,25073877,0,0,Twitter for Android,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",109,False,408,False,Trump Troll,False,False,en,"CEO/Corporate owner since 1998.  manufacturing sector, music industry. 
  THE GOP Tax scam will HURT YOU.",False,DonaldtheFraud,11902,False,False
