id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311152188429922305,2020-09-30 03:53:36,RT @MackenzieTreu: @hannahfreedman5  :( https://t.co/jNg4hO5gTK,None,None,None,None,None,0,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MackenzieTreu', 'name': 'Mackenzie Brown', 'id': 1021490341256589313, 'id_str': '1021490341256589313', 'indices': [3, 17]}, {'screen_name': 'hannahfreedman5', 'name': 'hannah', 'id': 2890985401, 'id_str': '2890985401', 'indices': [19, 35]}], 'urls': [], 'media': [{'id': 1311151285190758403, 'id_str': '1311151285190758403', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/media/EjIlJaiXkAMWXMN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjIlJaiXkAMWXMN.jpg', 'url': 'https://t.co/jNg4hO5gTK', 'display_url': 'pic.twitter.com/jNg4hO5gTK', 'expanded_url': 'https://twitter.com/MackenzieTreu/status/1311151288055365633/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1214, 'h': 1370, 'resize': 'fit'}, 'small': {'w': 603, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1063, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1311151288055365633, 'source_status_id_str': '1311151288055365633', 'source_user_id': 1021490341256589313, 'source_user_id_str': '1021490341256589313'}]}",382,False,395,False,hannah,False,False,und,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
2,1311131553842581506,2020-09-30 02:31:36,I can’t wait for this to turn into Tik Tok sounds,None,None,None,None,None,3,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
3,1311130626205143042,2020-09-30 02:27:55,"Every time I scream at my TV my furbo tells me my dog is barking, no ma’am, just the degradation of democracy",None,None,None,None,None,2,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
4,1311130379399593984,2020-09-30 02:26:56,@not0hannah TELL????THEM???? environmental queen??,1311128719721988097,not0hannah,1311128719721988097,856319626640273408,856319626640273408,1,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'not0hannah', 'name': 'Hannah “I have no desire for GOP unity” Reid', 'id': 856319626640273408, 'id_str': '856319626640273408', 'indices': [0, 11]}], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
5,1311128953499930624,2020-09-30 02:21:16,@brevardforbiden is my true fan tonight and I am their true fan always,None,brevardforbiden,None,1303743950306582530,1303743950306582530,1,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'brevardforbiden', 'name': 'Brevard County for Biden/Harris', 'id': 1303743950306582530, 'id_str': '1303743950306582530', 'indices': [0, 16]}], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
6,1311128414414397441,2020-09-30 02:19:08,Currently very strongly supporting @ZutterforFL,None,None,None,None,None,2,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ZutterforFL', 'name': 'Sarah Zutter', 'id': 1249522817722273798, 'id_str': '1249522817722273798', 'indices': [35, 47]}], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
7,1311127842546233344,2020-09-30 02:16:51,A MA politician who doesn’t support a trading from north station to south station is not for me????,None,None,None,None,None,1,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
8,1311127421794615296,2020-09-30 02:15:11,RT @EdMarkey: Donald Trump won't condemn white supremacists because he is one.,None,None,None,None,None,0,68188,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EdMarkey', 'name': 'Ed Markey', 'id': 1129029661, 'id_str': '1129029661', 'indices': [3, 12]}], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
9,1311127381881610244,2020-09-30 02:15:02,Chris is going to snap and I can’t wait to see it,1311124533575909378,hannahfreedman5,1311124533575909378,2890985401,2890985401,0,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
10,1311124533575909378,2020-09-30 02:03:42,Shouldn’t have to say that btw... it’s common fucking sense.,1311124140292739072,hannahfreedman5,1311124140292739072,2890985401,2890985401,1,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",382,False,395,False,hannah,False,False,en,"Big postcard and yard sign fan. Current: in funemployment (hire me plz) previous: @JoeBiden, Organizing Together 2020, NextGen. All views are my own. She/her.",True,hannahfreedman5,3384,False,False
