id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311147895383613442,2020-09-30 03:36:32,"RT @IsaacDovere: The debate was horrible. The format was not sufficient. The moderator failed to keep control. 

But the reason for nearly…",None,None,None,None,None,0,1384,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IsaacDovere', 'name': 'Edward-Isaac Dovere', 'id': 115564212, 'id_str': '115564212', 'indices': [3, 15]}], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
2,1311147872788844545,2020-09-30 03:36:27,RT @EdMarkey: Donald Trump won't condemn white supremacists because he is one.,None,None,None,None,None,0,69802,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EdMarkey', 'name': 'Ed Markey', 'id': 1129029661, 'id_str': '1129029661', 'indices': [3, 12]}], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
3,1311147848730279936,2020-09-30 03:36:21,"RT @KamalaHarris: Tonight, America was presented with a choice: a leader who offers a clear path forward vs. an angry, interrupting bully.…",None,None,None,None,None,0,8840,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [3, 16]}], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
4,1311147808163016704,2020-09-30 03:36:12,"Men/Women undecided:

High marks for both: “show up and vote.” - Biden. 

Most undecided agree that voting is saying your stance. It’s everyone’s responsibility to let your voice be heard.",1311146950490718209,ThePureGal,1311146950490718209,4889908153,4889908153,0,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
5,1311146950490718209,2020-09-30 03:32:47,"Other voter: Biden came in prepared and strong.

Other voter: Hard to stay loyal to trump when he interrupted so much.

Another voter: Trump childish. Voted for him last time. “When the clown shoe fits...”

A voter: name calling disappointing. 

Most say it’s a train-wreck.",1311146200129732608,ThePureGal,1311146200129732608,4889908153,4889908153,1,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
6,1311146200129732608,2020-09-30 03:29:48,#Debate2020 Undecided voters (OH): very exhausting debate. Two children fighting. Trying to decide and hearing opinions and just watching two people argue.,None,None,None,None,None,0,0,Twitter for iPhone,,"{'hashtags': [{'text': 'Debate2020', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
7,1311145826518003713,2020-09-30 03:28:19,"Trump has continued to lie re ballot fraud tonight, per fact checker. Check sources. #Debate2020",1311145569453248513,ThePureGal,1311145569453248513,4889908153,4889908153,0,0,Twitter for iPhone,,"{'hashtags': [{'text': 'Debate2020', 'indices': [85, 96]}], 'symbols': [], 'user_mentions': [], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
8,1311145569453248513,2020-09-30 03:27:18,"#Debate2020 Daniel Dale/ fact checker (re unsolicited ballot): Trump lied.  No fraud found with mail-in voting and exceeding rare (even in GOP lead state’s like UT). Less than 0.00007 %. 

Also, evidence of fraud in NY either re Maloney election.",None,None,None,None,None,0,0,Twitter for iPhone,,"{'hashtags': [{'text': 'Debate2020', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
9,1311144872351535105,2020-09-30 03:24:32,RT @voguemagazine: Congresswoman Alexandria Ocasio-Cortez (@aoc) called out the abominable double standard that female politicians face whe…,None,None,None,None,None,0,554,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'voguemagazine', 'name': 'Vogue Magazine', 'id': 136361303, 'id_str': '136361303', 'indices': [3, 17]}, {'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [59, 63]}], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
10,1311144840265162754,2020-09-30 03:24:24,"RT @reidepstein: Tonight, Donald Trump basically shouted his Twitter feed -- the thing even supporters say they don't like about him.

At n…",None,None,None,None,None,0,178,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'reidepstein', 'name': 'Reid J. Epstein', 'id': 18772897, 'id_str': '18772897', 'indices': [3, 15]}], 'urls': []}",270,False,150,False,Feminist Against Trump Trolls,False,False,en,I'm a nasty woman. I don't apologize for telling the truth. Feminist. Pro-Environment; Pro-Bernie. I only listen to facts. Equality for All #WomenAgainstTrump,True,ThePureGal,19286,False,False
