id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311404895694544896,2020-09-30 20:37:46,"To be fair he’s not gay, he’s just an idiot. https://t.co/eaLm53Ppiw",None,None,None,None,None,0,0,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eaLm53Ppiw', 'expanded_url': 'https://twitter.com/RawStory/status/1311386921483087874', 'display_url': 'twitter.com/RawStory/statu…', 'indices': [45, 68]}]}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,True
2,1311404584946995200,2020-09-30 20:36:32,I’m guessing you missed the part of the debate where Trump refused to denounce White Supremacy? https://t.co/CEHGw9rCeQ,None,None,None,None,None,0,0,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CEHGw9rCeQ', 'expanded_url': 'https://twitter.com/megynkelly/status/1311126567188344837', 'display_url': 'twitter.com/megynkelly/sta…', 'indices': [96, 119]}]}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,True
3,1311123383522787328,2020-09-30 01:59:08,"RT @SteveSchmidtSES: @JoeBiden is destroying @realDonaldTrump. Trump is unhinged, sweating, angry and blustering. He is losing. He is falli…",None,None,None,None,None,0,2254,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SteveSchmidtSES', 'name': 'Steve Schmidt', 'id': 786309892990574592, 'id_str': '786309892990574592', 'indices': [3, 19]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [21, 30]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [45, 61]}], 'urls': []}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,False
4,1311123270335307776,2020-09-30 01:58:41,Coming from a governor who destroyed unions in her state. https://t.co/JKRJfg7MjB,None,None,None,None,None,0,0,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JKRJfg7MjB', 'expanded_url': 'https://twitter.com/NikkiHaley/status/1311121195492933632', 'display_url': 'twitter.com/NikkiHaley/sta…', 'indices': [58, 81]}]}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,True
5,1310819338417352704,2020-09-29 05:50:58,Hey genius it was Trump that changed the tax laws in 2017 with his tax cut. Giving away 2 trillion to billionaires and millionaires and giving them more opportunity to game the system https://t.co/zOKoP4E419,None,None,None,None,None,0,0,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zOKoP4E419', 'expanded_url': 'https://twitter.com/AnnCoulter/status/1310772722142777344', 'display_url': 'twitter.com/AnnCoulter/sta…', 'indices': [184, 207]}]}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,True
6,1309510328321933319,2020-09-25 15:09:26,"RT @44mmvvpp: This is such a set-up! ??

FBI found a number of mail-in ballots in Pennsylvania discarded in the trash. They were ballots cas…",None,None,None,None,None,0,91,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '44mmvvpp', 'name': '44MVP', 'id': 4451570595, 'id_str': '4451570595', 'indices': [3, 12]}], 'urls': []}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,False
7,1309370233438613504,2020-09-25 05:52:45,Confucius once said: never do to others what you would not like them to do to you. https://t.co/f6jxFMXL4q,None,None,None,None,None,0,0,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f6jxFMXL4q', 'expanded_url': 'https://twitter.com/marcorubio/status/1309080003326418944', 'display_url': 'twitter.com/marcorubio/sta…', 'indices': [83, 106]}]}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,True
8,1309370233438613504,2020-09-25 05:52:45,Confucius once said: never do to others what you would not like them to do to you. https://t.co/f6jxFMXL4q,None,None,None,None,None,0,0,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f6jxFMXL4q', 'expanded_url': 'https://twitter.com/marcorubio/status/1309080003326418944', 'display_url': 'twitter.com/marcorubio/sta…', 'indices': [83, 106]}]}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,True
9,1309369390337372160,2020-09-25 05:49:24,Coming from a guy who wants to get rid of mail in ballots https://t.co/qWZVplOkEu,None,None,None,None,None,0,0,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qWZVplOkEu', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/1309289455535050752', 'display_url': 'twitter.com/realDonaldTrum…', 'indices': [58, 81]}]}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,True
10,1309013175006834688,2020-09-24 06:13:55,RT @GeorgeTakei: The president of the United States is a racist.,None,None,None,None,None,0,12148,Twitter for iPhone,"Bay Area, California","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeorgeTakei', 'name': 'George Takei', 'id': 237845487, 'id_str': '237845487', 'indices': [3, 15]}], 'urls': []}",1361,False,2224,False,stoprussia,False,False,en,I HATE TRUMP. so if you are a Trump troll stay the F-/k off my twitter feed. Trump is a useless sack of SHIT. Italian from NJ living in California NO DM’s,False,johnnyrunlately,34458,False,False
