id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311348294988124160,2020-09-30 16:52:51,RT @LadyAnarchyJ: My brother threw away everything I had INCLUDING the desk my late mommy gave me. After kicking me out. Did not ask for my…,None,None,None,None,None,0,8,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LadyAnarchyJ', 'name': 'JRL', 'id': 70108588, 'id_str': '70108588', 'indices': [3, 16]}], 'urls': []}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,False
2,1311320577303433216,2020-09-30 15:02:43,@_juswa Wtf???? So they get our story data din????,1311301327931105285,_juswa,1311301327931105285,21636250,21636250,0,0,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_juswa', 'name': '??\u200d??', 'id': 21636250, 'id_str': '21636250', 'indices': [0, 7]}], 'urls': []}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,False
3,1311177998037475329,2020-09-30 05:36:09,"My mom told me about how she spent a year in high school at Michigan in the 1980s. 

Back then, she already said lots of towns there were hollowed out. Can’t believe it’s been going on for this long now #Debates2020",None,None,None,None,None,0,0,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [{'text': 'Debates2020', 'indices': [203, 215]}], 'symbols': [], 'user_mentions': [], 'urls': []}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,False
4,1311165829531103234,2020-09-30 04:47:48,"Tim McGraw
All too well
Invisible String
Cornelia Street
Begin Again
Come in with the rain 
Call it what you want
Getaway Car
Ours
The lakes https://t.co/MkPQQVtd9l",None,None,None,None,None,0,0,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MkPQQVtd9l', 'expanded_url': 'https://twitter.com/seeitinmymind/status/1311022970597498882', 'display_url': 'twitter.com/seeitinmymind/…', 'indices': [141, 164]}]}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,True
5,1311160244773384192,2020-09-30 04:25:37,RT @inquirerdotnet: Senators pushed to restore the slashed P44 million in the proposed budget of the Office of the Vice President for 2021.…,None,None,None,None,None,0,10,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'inquirerdotnet', 'name': 'Inquirer', 'id': 15448383, 'id_str': '15448383', 'indices': [3, 18]}], 'urls': []}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,False
6,1311153429985681410,2020-09-30 03:58:32,RT @samanthaswft: jake gyllenhaal set himself up for this one ?? https://t.co/WcLq7isbuH,None,None,None,None,None,0,298,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'samanthaswft', 'name': 'sam', 'id': 1102921721638608896, 'id_str': '1102921721638608896', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1310807499176509440, 'id_str': '1310807499176509440', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/EjDseb1VgAAbo5o.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjDseb1VgAAbo5o.jpg', 'url': 'https://t.co/WcLq7isbuH', 'display_url': 'pic.twitter.com/WcLq7isbuH', 'expanded_url': 'https://twitter.com/samanthaswft/status/1310807513453924353/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 1021, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1021, 'resize': 'fit'}, 'small': {'w': 480, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1310807513453924353, 'source_status_id_str': '1310807513453924353', 'source_user_id': 1102921721638608896, 'source_user_id_str': '1102921721638608896'}]}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,False
7,1311146748941746179,2020-09-30 03:31:59,@lhfang @KyleKulinski Elderly abuse,1311115287995904000,lhfang,1311115287995904000,7900962,7900962,0,0,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lhfang', 'name': 'Lee Fang', 'id': 7900962, 'id_str': '7900962', 'indices': [0, 7]}, {'screen_name': 'KyleKulinski', 'name': 'Secular Talk', 'id': 143104075, 'id_str': '143104075', 'indices': [8, 21]}], 'urls': []}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,False
8,1311146333151977473,2020-09-30 03:30:20,Lmao I watched only 10 mins of #Debates2020 and had to turn it off. Stressful to say the least ??,None,None,None,None,None,3,0,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [{'text': 'Debates2020', 'indices': [31, 43]}], 'symbols': [], 'user_mentions': [], 'urls': []}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,False
9,1311145421159329794,2020-09-30 03:26:42,RT @KyleKulinski: Who won the first presidential debate?,None,None,None,None,None,0,599,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KyleKulinski', 'name': 'Secular Talk', 'id': 143104075, 'id_str': '143104075', 'indices': [3, 16]}], 'urls': []}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,False
10,1311110070466273280,2020-09-30 01:06:14,Oh no https://t.co/cFnzvV3tMV,None,None,None,None,None,0,0,Twitter for iPhone,"Harare, Zimbabwe","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cFnzvV3tMV', 'expanded_url': 'https://twitter.com/inquirerdotnet/status/1311105021967134720', 'display_url': 'twitter.com/inquirerdotnet…', 'indices': [6, 29]}]}",501,False,676,False,Dex #StarveTheTrolls,False,False,en,Finance Officer of Wholly Grain • Everything in moderation,True,Dex_and_daCity,15689,False,True
