id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311450767048478722,2020-09-30 23:40:03,"RT @kylegriffin1: Olivia Troye: ""I'm, quite frankly, grateful that Pres. Trump showed his true colors to the entire nation and put on displ…",None,None,None,None,None,0,14234,Twitter for iPhone,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kylegriffin1', 'name': 'Kyle Griffin', 'id': 32871086, 'id_str': '32871086', 'indices': [3, 16]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
2,1311365178089373697,2020-09-30 17:59:57,RT @SenDuckworth: Each day the Commander in Chief remains silent on #BountyGate is an insult to the troops serving our nation. It's been 96…,None,None,None,None,None,0,10192,Twitter for iPhone,Everywhere,"{'hashtags': [{'text': 'BountyGate', 'indices': [68, 79]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SenDuckworth', 'name': 'Tammy Duckworth', 'id': 1058520120, 'id_str': '1058520120', 'indices': [3, 16]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
3,1311364500667404291,2020-09-30 17:57:15,RT @gtconway3d: The most important thing that @JoeBiden did last night may not have been anything he said—but rather that he kept laughing…,None,None,None,None,None,0,20147,Twitter for iPhone,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gtconway3d', 'name': 'George Conway', 'id': 471677441, 'id_str': '471677441', 'indices': [3, 14]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [46, 55]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
4,1311364414768119808,2020-09-30 17:56:55,"RT @OregonGovBrown: Let's be clear: The Proud Boys are white supremacists.

Racism and hate are not forms of patriotism.

The power is your…",None,None,None,None,None,0,3569,Twitter for iPhone,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OregonGovBrown', 'name': 'Governor Kate Brown', 'id': 3023272478, 'id_str': '3023272478', 'indices': [3, 18]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
5,1311364324393455619,2020-09-30 17:56:33,RT @JamesKosur: Rick Santorum says that asking Trump to condemn right-wing extremists during the debate was unfair because they're his base.,None,None,None,None,None,0,1525,Twitter for iPhone,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JamesKosur', 'name': 'James Kosur', 'id': 1633058688, 'id_str': '1633058688', 'indices': [3, 14]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
6,1311364052778708993,2020-09-30 17:55:28,RT @nowthisnews: Watch Biden and Trump's spouses greet them after the debate — one is not like the other ?? #Debates2020 https://t.co/30AydU…,None,None,None,None,None,0,5866,Twitter for iPhone,Everywhere,"{'hashtags': [{'text': 'Debates2020', 'indices': [107, 119]}], 'symbols': [], 'user_mentions': [{'screen_name': 'nowthisnews', 'name': 'NowThis', 'id': 701725963, 'id_str': '701725963', 'indices': [3, 15]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
7,1311364052778708993,2020-09-30 17:55:28,RT @nowthisnews: Watch Biden and Trump's spouses greet them after the debate — one is not like the other ?? #Debates2020 https://t.co/30AydU…,None,None,None,None,None,0,5866,Twitter for iPhone,Everywhere,"{'hashtags': [{'text': 'Debates2020', 'indices': [107, 119]}], 'symbols': [], 'user_mentions': [{'screen_name': 'nowthisnews', 'name': 'NowThis', 'id': 701725963, 'id_str': '701725963', 'indices': [3, 15]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
8,1311363578650390528,2020-09-30 17:53:35,"@realDonaldTrump Nice try, but this one is a  more accurate depiction of last nights shit show! https://t.co/dE59KkcMzt",1311153253472636928,realDonaldTrump,1311153253472636928,25073877,25073877,2,2,Twitter for iPhone,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1311363576821616641, 'id_str': '1311363576821616641', 'indices': [96, 119], 'media_url': 'http://pbs.twimg.com/media/EjLmOafWkAEvKpQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjLmOafWkAEvKpQ.jpg', 'url': 'https://t.co/dE59KkcMzt', 'display_url': 'pic.twitter.com/dE59KkcMzt', 'expanded_url': 'https://twitter.com/Keshas_Corner/status/1311363578650390528/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 632, 'resize': 'fit'}, 'small': {'w': 680, 'h': 358, 'resize': 'fit'}, 'large': {'w': 1216, 'h': 640, 'resize': 'fit'}}}]}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
9,1311349717268389894,2020-09-30 16:58:30,@NikkiHaley You cant pump billions of dollars into the stock market and call it “booming”,1311320148507332610,NikkiHaley,1311320148507332610,1079776144524754944,1079776144524754944,0,0,Twitter for iPhone,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NikkiHaley', 'name': 'Nikki Haley', 'id': 1079776144524754944, 'id_str': '1079776144524754944', 'indices': [0, 11]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,False
10,1311300091567800322,2020-09-30 13:41:19,"RT @AynRandPaulRyan: It's not a wire.
It's a crease in his shirt, you idiots.

#Debates2020 #JoeWired",None,None,None,None,None,0,146,Twitter for iPhone,Everywhere,"{'hashtags': [{'text': 'Debates2020', 'indices': [79, 91]}, {'text': 'JoeWired', 'indices': [92, 101]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AynRandPaulRyan', 'name': ""Holly Figueroa O'Reilly"", 'id': 755835576, 'id_str': '755835576', 'indices': [3, 19]}], 'urls': []}",1545,False,2430,False,Kesha's Corner ??,False,False,en,Looking forward to 2020! Follow me & I will follow back. #FBR #Resistance #bluewave #GOPwillfall #BLM. Trump trolls and racists will be #blocked,True,Keshas_Corner,13562,False,True
