id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311399166694895622,2020-09-30 20:15:00,Cooking up homemade DDT to own the libs,None,None,None,None,None,24,1,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
2,1311278369590448128,2020-09-30 12:15:00,Getting mad at the internet itself to own the libs,None,None,None,None,None,48,6,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
3,1311278369590448128,2020-09-30 12:15:00,Getting mad at the internet itself to own the libs,None,None,None,None,None,48,6,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
4,1311157572179763202,2020-09-30 04:14:59,Farting on my dog to own the libs,None,None,None,None,None,35,3,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
5,1311036778330161152,2020-09-29 20:15:00,Nuking the site from orbit to own the libs,None,None,None,None,None,20,5,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
6,1310915982198804480,2020-09-29 12:15:00,Explosively shitting my pants to own the libs,None,None,None,None,None,47,2,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
7,1310795185249554432,2020-09-29 04:15:00,Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn to own the libs,None,None,None,None,None,79,22,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,und,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
8,1310674389369667584,2020-09-28 20:15:00,Not reporting my tips to the IRS to own the libs,None,None,None,None,None,41,6,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
9,1310553597898305537,2020-09-28 12:15:01,Watching Young Sheldon to own the libs,None,None,None,None,None,37,5,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
10,1310432798096920580,2020-09-28 04:15:00,Buying shitty store brand cereal to own the libs,None,None,None,None,None,36,6,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
11,1310312000489226240,2020-09-27 20:14:59,Watching Suckerpunch to own the libs,None,None,None,None,None,22,2,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
12,1310191205268033538,2020-09-27 12:15:00,Eating garbage pizza to own the libs,None,None,None,None,None,23,1,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
13,1310070409317019653,2020-09-27 04:15:00,Skipping the gym to own the libs,None,None,None,None,None,46,5,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
14,1309949613269487624,2020-09-26 20:15:00,Listening to the Dave Mathews Band to own the libs,None,None,None,None,None,32,6,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
15,1309828818505535491,2020-09-26 12:15:00,Getting a DUI on a horse to own the libs,None,None,None,None,None,32,7,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
16,1309708023305310213,2020-09-26 04:15:00,Buying shitty store brand cereal to own the libs,None,None,None,None,None,42,3,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
17,1309587228075724800,2020-09-25 20:15:00,Running a Zodiac Killer fan site to own the libs,None,None,None,None,None,21,5,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
18,1309466429876559878,2020-09-25 12:15:00,Trying to mosh in my 30s to own the libs,None,None,None,None,None,27,5,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
19,1309345633510273024,2020-09-25 04:15:00,Agreeing with Ted Kaczynski  to own the libs,None,None,None,None,None,118,14,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
20,1309224839429984265,2020-09-24 20:15:00,Shitting myself in public to own the libs,None,None,None,None,None,80,12,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
21,1308983247049760768,2020-09-24 04:15:00,Plagiarizing to own the libs,None,None,None,None,None,27,2,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
22,1308862452596199431,2020-09-23 20:15:00,Buying a shitload of diapers on Amazon to own the libs,None,None,None,None,None,23,0,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
23,1308862452596199431,2020-09-23 20:15:00,Buying a shitload of diapers on Amazon to own the libs,None,None,None,None,None,23,0,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
24,1308741657240756228,2020-09-23 12:15:00,Mispronouncing bourgeois  to own the libs,None,None,None,None,None,94,9,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
25,1308620857997230082,2020-09-23 04:15:00,Starting a trade war to own the libs,None,None,None,None,None,45,8,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
26,1308500060959920134,2020-09-22 20:14:59,Fighting with strangers on the internet to own the libs,None,None,None,None,None,54,12,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
27,1308379267277955072,2020-09-22 12:15:00,Watching awful Netflix original content to own the libs,None,None,None,None,None,47,7,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
28,1308258468755845120,2020-09-22 04:14:59,Watching the Jersey Shore reboot to own the libs,None,None,None,None,None,15,1,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
29,1308137675635916801,2020-09-21 20:15:00,Claiming I'm vocel when I'm really incel to own the libs,None,None,None,None,None,24,3,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
30,1308016879274000384,2020-09-21 12:15:00,Ignoring my loved ones to own the libs,None,None,None,None,None,27,4,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
31,1307896081338990592,2020-09-21 04:14:59,Only listening to pre-50's jazz to own the libs,None,None,None,None,None,45,10,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
32,1307775288764493826,2020-09-20 20:15:00,Vacating wins to own the libs,None,None,None,None,None,12,0,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
33,1307654489961385984,2020-09-20 12:15:00,Setting out the wrong cheese and wine pairings to own the libs,None,None,None,None,None,57,12,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
34,1307533697130913793,2020-09-20 04:15:00,Restoring the Stuart dynasty to own the libs,None,None,None,None,None,132,23,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
35,1307412897019166720,2020-09-19 20:14:59,Starting a mine fire to own the libs,None,None,None,None,None,16,1,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
36,1307292103748313089,2020-09-19 12:15:00,Listening to Erik Satie to own the libs,None,None,None,None,None,12,3,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
37,1307171307113545729,2020-09-19 04:15:00,Listening to Viking Metal to own the libs,None,None,None,None,None,14,2,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
38,1307050510319525890,2020-09-18 20:15:00,Getting banned from twitter to own the libs,None,None,None,None,None,57,16,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
39,1306929714603397122,2020-09-18 12:15:00,Not shaking hands during the sign of peace to own the libs,None,None,None,None,None,26,3,OwnTheLibsBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9472,False,9,False,Own The Libs Bot,False,False,en,A bot created to own the libs,False,OwnTheLibsBot,4401,False,False
