id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311257204423565313,2020-09-30 10:50:54,@MichaelCoudrey There was no tie. trump was a loud ignorant incoherent bully.,1311161612745678848,MichaelCoudrey,1311161612745678848,264501955,264501955,0,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichaelCoudrey', 'name': 'Mike Coudrey', 'id': 264501955, 'id_str': '264501955', 'indices': [0, 15]}], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
2,1311257204423565313,2020-09-30 10:50:54,@MichaelCoudrey There was no tie. trump was a loud ignorant incoherent bully.,1311161612745678848,MichaelCoudrey,1311161612745678848,264501955,264501955,0,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichaelCoudrey', 'name': 'Mike Coudrey', 'id': 264501955, 'id_str': '264501955', 'indices': [0, 15]}], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
3,1311256894607101952,2020-09-30 10:49:40,@jamusndit @MichaelCoudrey oh stop Joe is a stutterer and trump did his best to work him up. That bs ranting of the white house squatter was inappropriate and exhausting like dealing with a 3 year old having a tantrum.  As soon as he trump walks on stage the bar drops to meet his iq of stupid.,1311170436294606849,jamusndit,1311170436294606849,1576038554,1576038554,0,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jamusndit', 'name': 'JamUSnDiT???????', 'id': 1576038554, 'id_str': '1576038554', 'indices': [0, 10]}, {'screen_name': 'MichaelCoudrey', 'name': 'Mike Coudrey', 'id': 264501955, 'id_str': '264501955', 'indices': [11, 26]}], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
4,1310668310602805248,2020-09-28 19:50:50,@Ms_S1954 @JasonKander I find it funny your profile says no elevator to success and then you defend the biggest elevator rider of all.  Geeze,1310357786140655616,Ms_S1954,1310357786140655616,17811568,17811568,0,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ms_S1954', 'name': 'MsKnightly??', 'id': 17811568, 'id_str': '17811568', 'indices': [0, 9]}, {'screen_name': 'JasonKander', 'name': 'Jason Kander', 'id': 20744708, 'id_str': '20744708', 'indices': [10, 22]}], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
5,1310667827737694210,2020-09-28 19:48:55,@Ms_S1954 @JasonKander He should be in jail. We would be if we hadn’t paid taxes. Stop making excuse for this no good shady ass crook.  Makes you seem like a crook too.,1310357786140655616,Ms_S1954,1310357786140655616,17811568,17811568,0,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ms_S1954', 'name': 'MsKnightly??', 'id': 17811568, 'id_str': '17811568', 'indices': [0, 9]}, {'screen_name': 'JasonKander', 'name': 'Jason Kander', 'id': 20744708, 'id_str': '20744708', 'indices': [10, 22]}], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
6,1310541413617225735,2020-09-28 11:26:36,@shasimss @BigBlueWaveUSA and we are not surprised at all https://t.co/erFMxamfOq,1310386808547549189,shasimss,1310386808547549189,35497183,35497183,0,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shasimss', 'name': 'gran?? ???????????\u200d??????????????????????????????', 'id': 35497183, 'id_str': '35497183', 'indices': [0, 9]}, {'screen_name': 'BigBlueWaveUSA', 'name': 'Truth Matters', 'id': 979212105533440000, 'id_str': '979212105533440000', 'indices': [10, 25]}], 'urls': [], 'media': [{'id': 1310541408328130560, 'id_str': '1310541408328130560', 'indices': [58, 81], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Ei_6d6LWoAAgEkO.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Ei_6d6LWoAAgEkO.jpg', 'url': 'https://t.co/erFMxamfOq', 'display_url': 'pic.twitter.com/erFMxamfOq', 'expanded_url': 'https://twitter.com/ohjoyohjoy/status/1310541413617225735/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 258, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 258, 'resize': 'fit'}, 'large': {'w': 480, 'h': 258, 'resize': 'fit'}}}]}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
7,1310540469097639936,2020-09-28 11:22:51,@BigBlueWaveUSA nope not one bit.  especially when cops can safely get him out but always manage to be to afraid to negotiate with unarmed black people.  nope.  don’t care,1310386232568946689,BigBlueWaveUSA,1310386232568946689,979212105533440000,979212105533440000,0,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BigBlueWaveUSA', 'name': 'Truth Matters', 'id': 979212105533440000, 'id_str': '979212105533440000', 'indices': [0, 15]}], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
8,1310539556098396162,2020-09-28 11:19:13,@whitewingdove70 i thought about the man cops killed because he was running away after sleeping in his car.  or brionna sleeping and a spray of bullets when boyfriend stood ground against intruders.  amazing how they got Brad out alive when they were so afraid because he was armed.,1310386385254219782,whitewingdove70,1310386385254219782,712660213824925696,712660213824925696,1,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'whitewingdove70', 'name': 'Yvonne?', 'id': 712660213824925696, 'id_str': '712660213824925696', 'indices': [0, 16]}], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
9,1310538826490802179,2020-09-28 11:16:19,#BradParscale Let me get this straight. He was armed. He was threatening.  But cops didn’t kill him to protect themselves?   Didn’t cops kill an unarmed man for sleeping in his car?  Yet he makes it out alive when he wants to die?   Okaaaaay. No sympathy.,None,None,None,None,None,1,0,Twitter for iPhone,dmv metro,"{'hashtags': [{'text': 'BradParscale', 'indices': [0, 13]}], 'symbols': [], 'user_mentions': [], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
10,1310537299436896259,2020-09-28 11:10:15,@funder @realDonaldTrump or crying like a baby.  winners don’t need to beg.  if you have something people want and need they will come. the trumps know they are losers. they beg or steal to win.  is that winning?,1310250605718523906,funder,1310250605718523906,14247236,14247236,1,0,Twitter for iPhone,dmv metro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'funder', 'name': 'Scott Dworkin', 'id': 14247236, 'id_str': '14247236', 'indices': [0, 7]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [8, 24]}], 'urls': []}",1070,False,1606,False,ohjoy????,False,False,en,"Independent! Liberals are sexier?? trump trolls ??I'll block you???Here for politics, education, movies & tv talk??half my rants are meaningful #TheResistance",False,ohjoyohjoy,7815,False,False
