id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311368190266572804,2020-09-30 18:11:55,"i just dropped a tub of yogurt and it fucked me up just as hard as the first time, lmao..",None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
2,1311322890185342981,2020-09-30 15:11:54,my guild card is the windows 95 maze screensaver,None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
3,1311277587394691077,2020-09-30 12:11:53,"i've never really thought about just how much of a game ffxiv is -- it's barely grindy compared to any other mmo i've ever played, has...",None,None,None,None,None,1,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
4,1311232287426699264,2020-09-30 09:11:53,move over the bridge of my nose because my glasses were sent my friend a message about it until i...,None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
5,1311186987127320583,2020-09-30 06:11:53,"one of my other fav gamemodes was ""board game"" where i maybe don't want to keep going in sekiro any more, and once again...",None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
6,1311141687549452288,2020-09-30 03:11:52,it took me a solid 5 minutes before i realised there was a second person play The Missing and cried just as hard as the first time........,None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
7,1311096387245936648,2020-09-30 00:11:52,I had to get a package delivery while playing because it seems /so/ good.,None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
8,1311093275584008194,2020-09-29 23:59:30,The FFXIV Nier Automata and if you've played that game you should definitely check out this ra...,None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
9,1311047974970064899,2020-09-29 20:59:29,"just finished stranger things s3 and whoof, what the heck",None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
10,1311002674322694144,2020-09-29 17:59:29,"just found my first hacked website in the morning, shouting at the general concept of not being in bed",None,None,None,None,None,0,0,JewelBot,Cyberspace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1911,False,2375,False,????????,False,False,en,.??? ??????????????? ? ????????????????? ? ? ? ?????????_,False,JewelBots_,22368,False,False
