id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311440693357936641,2020-09-30 23:00:01,Don't cry Mokou https://t.co/uQGzMmPMwD,None,None,None,None,None,310,48,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311440691185225729, 'id_str': '1311440691185225729', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EjMsXD4WkAEXmXQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjMsXD4WkAEXmXQ.jpg', 'url': 'https://t.co/uQGzMmPMwD', 'display_url': 'pic.twitter.com/uQGzMmPMwD', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311440693357936641/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 1383, 'h': 1038, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 901, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
2,1311380292779810817,2020-09-30 19:00:00,I'm bomb chrysanthemum https://t.co/ZPRLsLAXKI,None,None,None,None,None,135,12,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311380291584495616, 'id_str': '1311380291584495616', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/EjL1bV1XkAArsZK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjL1bV1XkAArsZK.jpg', 'url': 'https://t.co/ZPRLsLAXKI', 'display_url': 'pic.twitter.com/ZPRLsLAXKI', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311380292779810817/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 361, 'h': 395, 'resize': 'fit'}, 'large': {'w': 361, 'h': 395, 'resize': 'fit'}, 'small': {'w': 361, 'h': 395, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
3,1311380292779810817,2020-09-30 19:00:00,I'm bomb chrysanthemum https://t.co/ZPRLsLAXKI,None,None,None,None,None,135,12,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311380291584495616, 'id_str': '1311380291584495616', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/EjL1bV1XkAArsZK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjL1bV1XkAArsZK.jpg', 'url': 'https://t.co/ZPRLsLAXKI', 'display_url': 'pic.twitter.com/ZPRLsLAXKI', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311380292779810817/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 361, 'h': 395, 'resize': 'fit'}, 'large': {'w': 361, 'h': 395, 'resize': 'fit'}, 'small': {'w': 361, 'h': 395, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
4,1311319894609231879,2020-09-30 15:00:00,I carry the pan https://t.co/AQCYwZUDVW,None,None,None,None,None,132,12,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311319893514637312, 'id_str': '1311319893514637312', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EjK-ftfX0AAoU2G.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjK-ftfX0AAoU2G.jpg', 'url': 'https://t.co/AQCYwZUDVW', 'display_url': 'pic.twitter.com/AQCYwZUDVW', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311319894609231879/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 339, 'h': 395, 'resize': 'fit'}, 'small': {'w': 339, 'h': 395, 'resize': 'fit'}, 'medium': {'w': 339, 'h': 395, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
5,1311259497684520960,2020-09-30 11:00:00,"I'm very strong,I don't need Bao Bao https://t.co/Vt5KkyApzp",None,None,None,None,None,170,26,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311259496434601986, 'id_str': '1311259496434601986', 'indices': [37, 60], 'media_url': 'http://pbs.twimg.com/media/EjKHkI1XkAITh26.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjKHkI1XkAITh26.jpg', 'url': 'https://t.co/Vt5KkyApzp', 'display_url': 'pic.twitter.com/Vt5KkyApzp', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311259497684520960/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 462, 'h': 406, 'resize': 'fit'}, 'medium': {'w': 462, 'h': 406, 'resize': 'fit'}, 'small': {'w': 462, 'h': 406, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
6,1311199098419195904,2020-09-30 07:00:00,Be careful my little red shoes https://t.co/zUbOrOpHEk,None,None,None,None,None,86,8,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311199097232162822, 'id_str': '1311199097232162822', 'indices': [31, 54], 'media_url': 'http://pbs.twimg.com/media/EjJQocRWAAYxu_x.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJQocRWAAYxu_x.jpg', 'url': 'https://t.co/zUbOrOpHEk', 'display_url': 'pic.twitter.com/zUbOrOpHEk', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311199098419195904/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 409, 'h': 551, 'resize': 'fit'}, 'small': {'w': 409, 'h': 551, 'resize': 'fit'}, 'large': {'w': 409, 'h': 551, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
7,1311138700168921088,2020-09-30 03:00:00,I can't control myself https://t.co/zkQqbJugle,None,None,None,None,None,365,97,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311138699065909250, 'id_str': '1311138699065909250', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/EjIZszkXYAIGenJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjIZszkXYAIGenJ.jpg', 'url': 'https://t.co/zkQqbJugle', 'display_url': 'pic.twitter.com/zkQqbJugle', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311138700168921088/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 448, 'h': 537, 'resize': 'fit'}, 'medium': {'w': 448, 'h': 537, 'resize': 'fit'}, 'large': {'w': 448, 'h': 537, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
8,1311078302711513088,2020-09-29 23:00:00,Vomit https://t.co/ItIofgvraw,None,None,None,None,None,103,4,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311078301507768321, 'id_str': '1311078301507768321', 'indices': [6, 29], 'media_url': 'http://pbs.twimg.com/media/EjHixNIX0AELq3w.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHixNIX0AELq3w.jpg', 'url': 'https://t.co/ItIofgvraw', 'display_url': 'pic.twitter.com/ItIofgvraw', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311078302711513088/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 334, 'h': 442, 'resize': 'fit'}, 'medium': {'w': 334, 'h': 442, 'resize': 'fit'}, 'large': {'w': 334, 'h': 442, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,de,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
9,1311017906629730306,2020-09-29 19:00:01,"I can't laugh,my tears are in my belly https://t.co/oGjYGPG8cy",None,None,None,None,None,119,21,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311017905505607682, 'id_str': '1311017905505607682', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/EjGr1sfWoAII09P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGr1sfWoAII09P.jpg', 'url': 'https://t.co/oGjYGPG8cy', 'display_url': 'pic.twitter.com/oGjYGPG8cy', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1311017906629730306/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 428, 'h': 438, 'resize': 'fit'}, 'medium': {'w': 428, 'h': 438, 'resize': 'fit'}, 'large': {'w': 428, 'h': 438, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
10,1310957508505329665,2020-09-29 15:00:01,We are just friends https://t.co/4cinb0hM3D,None,None,None,None,None,249,47,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310957505296707586, 'id_str': '1310957505296707586', 'indices': [20, 43], 'media_url': 'http://pbs.twimg.com/media/EjF058LXsAIOgoD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjF058LXsAIOgoD.jpg', 'url': 'https://t.co/4cinb0hM3D', 'display_url': 'pic.twitter.com/4cinb0hM3D', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310957508505329665/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 383, 'h': 475, 'resize': 'fit'}, 'large': {'w': 383, 'h': 475, 'resize': 'fit'}, 'small': {'w': 383, 'h': 475, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
