id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311161665476460544,2020-09-30 04:31:15,"RT @_alyssacsmith: my brain after I spent 4 hours creating the ""right conditions"" for me to write https://t.co/2MFVdrefrG",None,None,None,None,None,0,2648,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_alyssacsmith', 'name': 'Alyssa Smith', 'id': 979908252308733952, 'id_str': '979908252308733952', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1310976616265330694, 'id_str': '1310976616265330694', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/EjGGSWFWsAY5Ka8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGGSWFWsAY5Ka8.jpg', 'url': 'https://t.co/2MFVdrefrG', 'display_url': 'pic.twitter.com/2MFVdrefrG', 'expanded_url': 'https://twitter.com/_alyssacsmith/status/1310977035594989568/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1008, 'h': 633, 'resize': 'fit'}, 'medium': {'w': 1008, 'h': 633, 'resize': 'fit'}, 'small': {'w': 680, 'h': 427, 'resize': 'fit'}}, 'source_status_id': 1310977035594989568, 'source_status_id_str': '1310977035594989568', 'source_user_id': 979908252308733952, 'source_user_id_str': '979908252308733952'}]}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,False
2,1311044983835697152,2020-09-29 20:47:36,RT @DivyaRamani17: A relationship should be 50/50. We pay taxes and the president does too.,None,None,None,None,None,0,3,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DivyaRamani17', 'name': 'Divya ??', 'id': 3262870982, 'id_str': '3262870982', 'indices': [3, 17]}], 'urls': []}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,False
3,1311044983835697152,2020-09-29 20:47:36,RT @DivyaRamani17: A relationship should be 50/50. We pay taxes and the president does too.,None,None,None,None,None,0,3,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DivyaRamani17', 'name': 'Divya ??', 'id': 3262870982, 'id_str': '3262870982', 'indices': [3, 17]}], 'urls': []}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,False
4,1310469577684393986,2020-09-28 06:41:09,RT @marissajv: The largest housing takeover in the nation—many who are single mothers and their children— and encampments of unhoused won t…,None,None,None,None,None,0,2922,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'marissajv', 'name': 'no otro lado', 'id': 152778226, 'id_str': '152778226', 'indices': [3, 13]}], 'urls': []}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,True
5,1310333988871876608,2020-09-27 21:42:22,RT @ThirstenReynera: @spicycasserole What if we pronounced females like tamales,None,None,None,None,None,0,742,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ThirstenReynera', 'name': 'Thirsten Reynera', 'id': 1110637693, 'id_str': '1110637693', 'indices': [3, 19]}, {'screen_name': 'spicycasserole', 'name': 'murdeezy', 'id': 3243633596, 'id_str': '3243633596', 'indices': [21, 36]}], 'urls': []}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,False
6,1309554897520488448,2020-09-25 18:06:32,RT @libbyjones715: Most people who know the name Sophie Scholl know she was a 21 year old German student activist who was executed by the N…,None,None,None,None,None,0,37529,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'libbyjones715', 'name': 'Libby', 'id': 46383410, 'id_str': '46383410', 'indices': [3, 17]}], 'urls': []}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,False
7,1308864456089370625,2020-09-23 20:22:58,RT @GraceSpelman: you cannot reform this https://t.co/wCfBcoFjoa,None,None,None,None,None,0,21856,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GraceSpelman', 'name': 'grace spelman: totally exonerated, no wrongdoing', 'id': 75604826, 'id_str': '75604826', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1308860382870724615, 'id_str': '1308860382870724615', 'indices': [41, 64], 'media_url': 'http://pbs.twimg.com/media/EioBlWWXYAc7Rch.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EioBlWWXYAc7Rch.jpg', 'url': 'https://t.co/wCfBcoFjoa', 'display_url': 'pic.twitter.com/wCfBcoFjoa', 'expanded_url': 'https://twitter.com/GraceSpelman/status/1308860391724929031/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 417, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1125, 'h': 1833, 'resize': 'fit'}, 'medium': {'w': 736, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1308860391724929031, 'source_status_id_str': '1308860391724929031', 'source_user_id': 75604826, 'source_user_id_str': '75604826'}]}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,False
8,1308848368634998786,2020-09-23 19:19:02,"RT @CaseyNewton: In journalism, thanks to @jayrosen_nyu, we have a word for this kind of dedication to “neutral” speech policies: “the view…",None,None,None,None,None,0,46,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CaseyNewton', 'name': 'Casey Newton', 'id': 69426451, 'id_str': '69426451', 'indices': [3, 15]}, {'screen_name': 'jayrosen_nyu', 'name': 'Jay Rosen', 'id': 14834340, 'id_str': '14834340', 'indices': [42, 55]}], 'urls': []}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,False
9,1307826088458907649,2020-09-20 23:36:52,RT @talliesinyoung: https://t.co/2Tc3xuhAwy,None,None,None,None,None,0,821,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'talliesinyoung', 'name': '????????????', 'id': 4238054602, 'id_str': '4238054602', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1307552445892001793, 'id_str': '1307552445892001793', 'indices': [20, 43], 'media_url': 'http://pbs.twimg.com/media/EiVcBZaWAAEvfYk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EiVcBZaWAAEvfYk.jpg', 'url': 'https://t.co/2Tc3xuhAwy', 'display_url': 'pic.twitter.com/2Tc3xuhAwy', 'expanded_url': 'https://twitter.com/talliesinyoung/status/1307552449620836352/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 852, 'resize': 'fit'}, 'small': {'w': 680, 'h': 483, 'resize': 'fit'}, 'large': {'w': 1241, 'h': 881, 'resize': 'fit'}}, 'source_status_id': 1307552449620836352, 'source_status_id_str': '1307552449620836352', 'source_user_id': 4238054602, 'source_user_id_str': '4238054602'}]}",177,False,363,False,p??j,False,False,und,happiness is a long patience | she/her,True,pojbox,4147,False,False
10,1307430607048204288,2020-09-19 21:25:22,"RT @greyscribbles: “ON SILENCE: The deaf don’t believe in silence. Silence is the invention of the hearing.”

Excerpt From
Deaf Republic",None,None,None,None,None,0,57,Twitter for iPhone,san francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'greyscribbles', 'name': 'CrumpledNewspaper', 'id': 1134733716180353024, 'id_str': '1134733716180353024', 'indices': [3, 17]}], 'urls': []}",177,False,363,False,p??j,False,False,en,happiness is a long patience | she/her,True,pojbox,4147,False,False
