id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31142E+18,9/30/2020 21:47,"Looking for Node.js developer for a small project - please drop us a DM, including previous work!",None,None,None,None,None,26,6,Twitter Web App,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
2,1.31132E+18,9/30/2020 15:17,"RT @sneakerdigger1: 19 clip but I Forgot to run FP ????? 
@KicksRaffleBot again and again ??
@BtwProxy @aycdproxies ?? https://t.co/7thytvsZuc",None,None,None,None,None,0,3,Twitter for iPhone,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sneakerdigger1', 'name': 'Sneaker Digger', 'id': 742099739760599041, 'id_str': '742099739760599041', 'indices': [3, 18]}, {'screen_name': 'KicksRaffleBot', 'name': 'KicksRaffleBot', 'id': 1047982764388245505, 'id_str': '1047982764388245505', 'indices': [57, 72]}, {'screen_name': 'BtwProxy', 'name': 'BTWProxy', 'id': 1219553996169515009, 'id_str': '1219553996169515009', 'indices': [91, 100]}, {'screen_name': 'aycdproxies', 'name': 'AYCD Proxy Network', 'id': 1209268185586778112, 'id_str': '1209268185586778112', 'indices': [101, 113]}], 'urls': [], 'media': [{'id': 1311322368212635648, 'id_str': '1311322368212635648', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/EjLAvwdWkAAYNUs.png', 'media_url_https': 'https://pbs.twimg.com/media/EjLAvwdWkAAYNUs.png', 'url': 'https://t.co/7thytvsZuc', 'display_url': 'pic.twitter.com/7thytvsZuc', 'expanded_url': 'https://twitter.com/sneakerdigger1/status/1311323307136950275/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 426, 'h': 455, 'resize': 'fit'}, 'large': {'w': 426, 'h': 455, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 426, 'h': 455, 'resize': 'fit'}}, 'source_status_id': 1311323307136950275, 'source_status_id_str': '1311323307136950275', 'source_user_id': 742099739760599041, 'source_user_id_str': '742099739760599041'}]}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
3,1.31129E+18,9/30/2020 13:17,RT @Jonaschen13: more than 69 pairs of 350 cabbon s/o  @AMNotifyCN @KicksRaffleBot @Future_Proxies @TimoProxies https://t.co/fZpkTbS33g,None,None,None,None,None,0,2,Twitter Web App,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jonaschen13', 'name': 'Jonaschen', 'id': 1030696460331966466, 'id_str': '1030696460331966466', 'indices': [3, 15]}, {'screen_name': 'AMNotifyCN', 'name': 'AMNotify CN', 'id': 1051640488975945728, 'id_str': '1051640488975945728', 'indices': [55, 66]}, {'screen_name': 'KicksRaffleBot', 'name': 'KicksRaffleBot', 'id': 1047982764388245505, 'id_str': '1047982764388245505', 'indices': [67, 82]}, {'screen_name': 'Future_Proxies', 'name': 'Future_Proxies', 'id': 972850193048547328, 'id_str': '972850193048547328', 'indices': [83, 98]}, {'screen_name': 'TimoProxies', 'name': 'TimoProxies', 'id': 1297225149872107520, 'id_str': '1297225149872107520', 'indices': [99, 111]}], 'urls': [], 'media': [{'id': 1311089883792859136, 'id_str': '1311089883792859136', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/EjHtTYgU4AACft6.png', 'media_url_https': 'https://pbs.twimg.com/media/EjHtTYgU4AACft6.png', 'url': 'https://t.co/fZpkTbS33g', 'display_url': 'pic.twitter.com/fZpkTbS33g', 'expanded_url': 'https://twitter.com/Jonaschen13/status/1311090515996106753/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 445, 'h': 216, 'resize': 'fit'}, 'large': {'w': 445, 'h': 216, 'resize': 'fit'}, 'small': {'w': 445, 'h': 216, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_status_id': 1311090515996106753, 'source_status_id_str': '1311090515996106753', 'source_user_id': 1030696460331966466, 'source_user_id_str': '1030696460331966466'}]}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
4,1.31129E+18,9/30/2020 13:17,"RT @yothere_: 55 Unions Jordan 4 and 61 Carbon
@FlareRaffles @KicksRaffleBot 
@Rafflesupply 
and yobro $2 proxies lol https://t.co/UapV32z9…",None,None,None,None,None,0,8,Twitter Web App,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yothere_', 'name': 'yobro', 'id': 1137098369371951106, 'id_str': '1137098369371951106', 'indices': [3, 12]}, {'screen_name': 'FlareRaffles', 'name': 'FlareRaffles', 'id': 1196012878974861312, 'id_str': '1196012878974861312', 'indices': [47, 60]}, {'screen_name': 'KicksRaffleBot', 'name': 'KicksRaffleBot', 'id': 1047982764388245505, 'id_str': '1047982764388245505', 'indices': [61, 76]}, {'screen_name': 'Rafflesupply', 'name': 'Raffle supply', 'id': 1162444606887383040, 'id_str': '1162444606887383040', 'indices': [78, 91]}], 'urls': []}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
5,1.31124E+18,9/30/2020 9:23,RT @KicksSuccess: Success from olim#6514 with KicksRaffleBot https://t.co/gZo3Z2dgvn,None,None,None,None,None,0,1,Twitter for iPhone,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KicksSuccess', 'name': 'Kicks Success', 'id': 1225795003563286530, 'id_str': '1225795003563286530', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1311049686300622848, 'id_str': '1311049686300622848', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EjHIvlLWAAAfuzl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHIvlLWAAAfuzl.jpg', 'url': 'https://t.co/gZo3Z2dgvn', 'display_url': 'pic.twitter.com/gZo3Z2dgvn', 'expanded_url': 'https://twitter.com/KicksSuccess/status/1311049688632774658/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 946, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1311049688632774658, 'source_status_id_str': '1311049688632774658', 'source_user_id': 1225795003563286530, 'source_user_id_str': '1225795003563286530'}]}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
6,1.31124E+18,9/30/2020 9:23,RT @KicksSuccess: Success from olim#6514 with KicksRaffleBot https://t.co/gZo3Z2dgvn,None,None,None,None,None,0,1,Twitter for iPhone,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KicksSuccess', 'name': 'Kicks Success', 'id': 1225795003563286530, 'id_str': '1225795003563286530', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1311049686300622848, 'id_str': '1311049686300622848', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EjHIvlLWAAAfuzl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHIvlLWAAAfuzl.jpg', 'url': 'https://t.co/gZo3Z2dgvn', 'display_url': 'pic.twitter.com/gZo3Z2dgvn', 'expanded_url': 'https://twitter.com/KicksSuccess/status/1311049688632774658/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 946, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1311049688632774658, 'source_status_id_str': '1311049688632774658', 'source_user_id': 1225795003563286530, 'source_user_id_str': '1225795003563286530'}]}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
7,1.31124E+18,9/30/2020 9:23,RT @KicksSuccess: Success from olim#6514 with KicksRaffleBot https://t.co/5BRxnjFacN,None,None,None,None,None,0,1,Twitter for iPhone,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KicksSuccess', 'name': 'Kicks Success', 'id': 1225795003563286530, 'id_str': '1225795003563286530', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1311198346799976449, 'id_str': '1311198346799976449', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EjJP8wsXkAEVyKZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJP8wsXkAEVyKZ.jpg', 'url': 'https://t.co/5BRxnjFacN', 'display_url': 'pic.twitter.com/5BRxnjFacN', 'expanded_url': 'https://twitter.com/KicksSuccess/status/1311198347785629697/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 444, 'h': 216, 'resize': 'fit'}, 'medium': {'w': 444, 'h': 216, 'resize': 'fit'}, 'small': {'w': 444, 'h': 216, 'resize': 'fit'}}, 'source_status_id': 1311198347785629697, 'source_status_id_str': '1311198347785629697', 'source_user_id': 1225795003563286530, 'source_user_id_str': '1225795003563286530'}]}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
8,1.31105E+18,9/29/2020 21:06,RT @KicksSuccess: Success from dhthydrogen#0001 with KicksRaffleBot https://t.co/y9pBJ0F62R,None,None,None,None,None,0,1,Twitter for iPhone,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KicksSuccess', 'name': 'Kicks Success', 'id': 1225795003563286530, 'id_str': '1225795003563286530', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1310654015630438402, 'id_str': '1310654015630438402', 'indices': [68, 91], 'media_url': 'http://pbs.twimg.com/media/EjBg4hEXcAIVlUI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjBg4hEXcAIVlUI.jpg', 'url': 'https://t.co/y9pBJ0F62R', 'display_url': 'pic.twitter.com/y9pBJ0F62R', 'expanded_url': 'https://twitter.com/KicksSuccess/status/1310654017157107712/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 148, 'h': 148, 'resize': 'crop'}, 'medium': {'w': 1132, 'h': 148, 'resize': 'fit'}, 'small': {'w': 680, 'h': 89, 'resize': 'fit'}, 'large': {'w': 1132, 'h': 148, 'resize': 'fit'}}, 'source_status_id': 1310654017157107712, 'source_status_id_str': '1310654017157107712', 'source_user_id': 1225795003563286530, 'source_user_id_str': '1225795003563286530'}]}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
9,1.31105E+18,9/29/2020 21:06,RT @KicksSuccess: Success from RubenAltena#5969 with KicksRaffleBot https://t.co/K9qltF2N0G,None,None,None,None,None,0,1,Twitter for iPhone,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KicksSuccess', 'name': 'Kicks Success', 'id': 1225795003563286530, 'id_str': '1225795003563286530', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1310682225088831489, 'id_str': '1310682225088831489', 'indices': [68, 91], 'media_url': 'http://pbs.twimg.com/media/EjB6ihfWoAEkvTF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjB6ihfWoAEkvTF.jpg', 'url': 'https://t.co/K9qltF2N0G', 'display_url': 'pic.twitter.com/K9qltF2N0G', 'expanded_url': 'https://twitter.com/KicksSuccess/status/1310682227026558976/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 585, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1033, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1125, 'h': 1307, 'resize': 'fit'}}, 'source_status_id': 1310682227026558976, 'source_status_id_str': '1310682227026558976', 'source_user_id': 1225795003563286530, 'source_user_id_str': '1225795003563286530'}]}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
10,1.31105E+18,9/29/2020 21:06,RT @KicksSuccess: Success from Floh#4275 with KicksRaffleBot https://t.co/FP8Y5H1hyk,None,None,None,None,None,0,1,Twitter for iPhone,£150-$20 renewal | Windows ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KicksSuccess', 'name': 'Kicks Success', 'id': 1225795003563286530, 'id_str': '1225795003563286530', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1310814548816003072, 'id_str': '1310814548816003072', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EjDy4xyXgAAtMku.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjDy4xyXgAAtMku.jpg', 'url': 'https://t.co/FP8Y5H1hyk', 'display_url': 'pic.twitter.com/FP8Y5H1hyk', 'expanded_url': 'https://twitter.com/KicksSuccess/status/1310814549705138177/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1440, 'h': 258, 'resize': 'fit'}, 'small': {'w': 680, 'h': 122, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 215, 'resize': 'fit'}}, 'source_status_id': 1310814549705138177, 'source_status_id_str': '1310814549705138177', 'source_user_id': 1225795003563286530, 'source_user_id_str': '1225795003563286530'}]}",24427,FALSE,3,FALSE,KicksRaffleBot,FALSE,FALSE,en,#1 CLI Raffle Bot | EU ?? | SOLD OUT | Success - @KicksSuccess |,FALSE,KicksRaffleBot,1492,FALSE,FALSE
