id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311221426570092544,2020-09-30 08:28:44,"The best way to have watched #Debate2020 was by reading this article because watching it was a horror. @PolitiFact #FactCheck@the first 2020 presidential debate, #Biden vs. #Trump. #TrumpMeltdown #Vote #VoteBlueToSaveAmerica #VoteBlueToEndThisNightmare  https://t.co/bLdHZXPG7Y",None,None,None,None,None,0,1,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [{'text': 'Debate2020', 'indices': [29, 40]}, {'text': 'FactCheck', 'indices': [115, 125]}, {'text': 'Biden', 'indices': [162, 168]}, {'text': 'Trump', 'indices': [173, 179]}, {'text': 'TrumpMeltdown', 'indices': [181, 195]}, {'text': 'Vote', 'indices': [196, 201]}, {'text': 'VoteBlueToSaveAmerica', 'indices': [202, 224]}, {'text': 'VoteBlueToEndThisNightmare', 'indices': [225, 252]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PolitiFact', 'name': 'PolitiFact', 'id': 8953122, 'id_str': '8953122', 'indices': [103, 114]}], 'urls': [{'url': 'https://t.co/bLdHZXPG7Y', 'expanded_url': 'https://www.politifact.com/article/2020/sep/30/fact-checking-first-2020-presidential-debate-joe-b/', 'display_url': 'politifact.com/article/2020/s…', 'indices': [254, 277]}]}",13037,False,14267,False,mydemocracy,False,False,en,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
2,1310685653710012416,2020-09-28 20:59:45,"@AOC IRS has been looking at his taxes for years trying to figure out $72 million refund. If it were clear that it was related to Obama’s tax policy to stimulate the economy after the 2008 collapse, then the audit w/b over. So, they’re probably looking into his questionable income.",1310384989524185093,AOC,1310384989524185093,138203134,138203134,0,0,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [0, 4]}], 'urls': []}",13037,False,14267,False,mydemocracy,False,False,en,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
3,1310684590965755908,2020-09-28 20:55:32,@AaronZile @JohnnoMills @AOC Trump org is very small. It only employs 10 people. Every business he’s ever created has gone bankrupt before he’s paid his contractors. The tax write off and he got refunded for maybe the huge loss he took for Taj Mahal. A whole lot of people lost a whole lot of salaries there.,None,None,None,None,None,1,0,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JohnnoMills', 'name': '?? Jacko Mills', 'id': 989432397312610304, 'id_str': '989432397312610304', 'indices': [11, 23]}, {'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [24, 28]}], 'urls': []}",13037,False,14267,False,mydemocracy,False,False,en,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
4,1310574511067201543,2020-09-28 13:38:07,#Vote! Vote! Vote! #ProtectWomen #ProtectOurCare #ProtectOurDemocracy #VoteBlueToSaveAmerica #VoteBlueDownBallot #TrumpTaxReturns #TrumpLied200KAmericansdied #ACA #SavetheACA #Obamacare https://t.co/RoyGpzMq1K,None,None,None,None,None,0,0,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [{'text': 'Vote', 'indices': [0, 5]}, {'text': 'ProtectWomen', 'indices': [19, 32]}, {'text': 'ProtectOurCare', 'indices': [33, 48]}, {'text': 'ProtectOurDemocracy', 'indices': [49, 69]}, {'text': 'VoteBlueToSaveAmerica', 'indices': [70, 92]}, {'text': 'VoteBlueDownBallot', 'indices': [93, 112]}, {'text': 'TrumpTaxReturns', 'indices': [113, 129]}, {'text': 'TrumpLied200KAmericansdied', 'indices': [130, 157]}, {'text': 'ACA', 'indices': [158, 162]}, {'text': 'SavetheACA', 'indices': [163, 174]}, {'text': 'Obamacare', 'indices': [175, 185]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310574481639960577, 'id_str': '1310574481639960577', 'indices': [186, 209], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1310574481639960577/pu/img/2e8CLqil0uDOXwy_.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1310574481639960577/pu/img/2e8CLqil0uDOXwy_.jpg', 'url': 'https://t.co/RoyGpzMq1K', 'display_url': 'pic.twitter.com/RoyGpzMq1K', 'expanded_url': 'https://twitter.com/mydemocracy/status/1310574511067201543/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 540, 'h': 960, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 540, 'h': 960, 'resize': 'fit'}}}]}",13037,False,14267,False,mydemocracy,False,False,fr,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
5,1310395690271600641,2020-09-28 01:47:33,"#TrumpTaxCheat paid $750 to #IRS in 2016, 2017. He hasn’t paid income tax in 10 of previous 15 yrs—for claiming he lost more $ than he made. His finances are under stress, beset by losses of hundreds millions $ in debt coming due—he personally guaranteed. https://t.co/DvLJ4mJGLs",None,None,None,None,None,1,2,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [{'text': 'TrumpTaxCheat', 'indices': [0, 14]}, {'text': 'IRS', 'indices': [28, 32]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DvLJ4mJGLs', 'expanded_url': 'https://www.nytimes.com/interactive/2020/09/27/us/donald-trump-taxes.html?smid=tw-share', 'display_url': 'nytimes.com/interactive/20…', 'indices': [256, 279]}]}",13037,False,14267,False,mydemocracy,False,False,en,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
6,1310394348056596480,2020-09-28 01:42:13,"#Trump has committed 3,400 conflicts of interest since his inauguration in 2017. He has spent 303 days in 3 yrs, 9 mos golfing—paid by #Taxpayers. That’s almost one year. #TaxFraudTrump #TrumpIsANationalDisgrace #TrumpTaxCheat #TrumpVirusDeathToll203K  https://t.co/yRVqZ4V4GJ",None,None,None,None,None,3,5,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [{'text': 'Trump', 'indices': [0, 6]}, {'text': 'Taxpayers', 'indices': [135, 145]}, {'text': 'TaxFraudTrump', 'indices': [171, 185]}, {'text': 'TrumpIsANationalDisgrace', 'indices': [186, 211]}, {'text': 'TrumpTaxCheat', 'indices': [212, 226]}, {'text': 'TrumpVirusDeathToll203K', 'indices': [227, 251]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yRVqZ4V4GJ', 'expanded_url': 'https://www.citizensforethics.org/president-trumps-3400-conflicts-of-interest/', 'display_url': 'citizensforethics.org/president-trum…', 'indices': [253, 276]}]}",13037,False,14267,False,mydemocracy,False,False,en,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
7,1310363596908572673,2020-09-27 23:40:01,@realDonaldTrump There’s a lot more you better watch including the #IRS. And the House Judiciary Committee. #TrumpTaxes #TrumpMeltdown #TrumpTaxReturns #BidenHarrisLandslide2020,1310217730218430465,realDonaldTrump,1310217730218430465,25073877,25073877,2,1,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [{'text': 'IRS', 'indices': [67, 71]}, {'text': 'TrumpTaxes', 'indices': [108, 119]}, {'text': 'TrumpMeltdown', 'indices': [120, 134]}, {'text': 'TrumpTaxReturns', 'indices': [135, 151]}, {'text': 'BidenHarrisLandslide2020', 'indices': [152, 177]}], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",13037,False,14267,False,mydemocracy,False,False,en,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
8,1310360777891741696,2020-09-27 23:28:49,"#Trump paid $750 to #IRS in 2016, 2017. He paid no #IncomeTax in 10 of the previous 15 yrs—for reportedly losing more $$ than he made. Now his finances are under stress, beset by losses of hundreds  millions $$ in debt coming due—he personally guaranteed. https://t.co/cWpB4vJnso",None,None,None,None,None,1,2,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [{'text': 'Trump', 'indices': [0, 6]}, {'text': 'IRS', 'indices': [20, 24]}, {'text': 'IncomeTax', 'indices': [51, 61]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cWpB4vJnso', 'expanded_url': 'https://www.nytimes.com/interactive/2020/09/27/us/donald-trump-taxes.html?referringSource=articleShare', 'display_url': 'nytimes.com/interactive/20…', 'indices': [256, 279]}]}",13037,False,14267,False,mydemocracy,False,False,en,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
9,1310333531269353472,2020-09-27 21:40:33,#JoeBiden ?@JoeBiden? #JoeBidenKamalaHarris2020 #VoteBlueToEndThisNightmare #VoteBlueToSaveAmerica #VoteBlueDownBallot #SaveOurDemocracy #ProtectOurCare #ACA #TrumpKnewAmericansDied #TrumpKnewVoteBlue  https://t.co/g7rAi9qk9U,None,None,None,None,None,1,0,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [{'text': 'JoeBiden', 'indices': [0, 9]}, {'text': 'JoeBidenKamalaHarris2020', 'indices': [22, 47]}, {'text': 'VoteBlueToEndThisNightmare', 'indices': [48, 75]}, {'text': 'VoteBlueToSaveAmerica', 'indices': [76, 98]}, {'text': 'VoteBlueDownBallot', 'indices': [99, 118]}, {'text': 'SaveOurDemocracy', 'indices': [119, 136]}, {'text': 'ProtectOurCare', 'indices': [137, 152]}, {'text': 'ACA', 'indices': [153, 157]}, {'text': 'TrumpKnewAmericansDied', 'indices': [158, 181]}, {'text': 'TrumpKnewVoteBlue', 'indices': [182, 200]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [11, 20]}], 'urls': [{'url': 'https://t.co/g7rAi9qk9U', 'expanded_url': 'https://vm.tiktok.com/ZMJU7Bvq5/', 'display_url': 'vm.tiktok.com/ZMJU7Bvq5/', 'indices': [202, 225]}]}",13037,False,14267,False,mydemocracy,False,False,und,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
10,1310332403001569289,2020-09-27 21:36:04,#LindseyGraham ?@LindseyGrahamSC? in his own words—“he’s the nicest person I think I’ve ever met in politics. He is as good a man as God has ever created. If you can’t admire ?#JoeBiden? as a person then its probably you’ve got a problem” #Vote https://t.co/LZFe8WIRXP,None,None,None,None,None,0,1,Twitter for iPhone,Washington DC | Los Angeles,"{'hashtags': [{'text': 'LindseyGraham', 'indices': [0, 14]}, {'text': 'JoeBiden', 'indices': [176, 185]}, {'text': 'Vote', 'indices': [239, 244]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LindseyGrahamSC', 'name': 'Lindsey Graham', 'id': 432895323, 'id_str': '432895323', 'indices': [16, 32]}], 'urls': [{'url': 'https://t.co/LZFe8WIRXP', 'expanded_url': 'https://vm.tiktok.com/ZMJUWKRFe/', 'display_url': 'vm.tiktok.com/ZMJUWKRFe/', 'indices': [245, 268]}]}",13037,False,14267,False,mydemocracy,False,False,en,MyDemocracy believes in Americans having a voice in Congress. Protecting our democracy is nonpartisan. The best immune support helps: https://t.co/OrzcIbIfYE,True,mydemocracy,5332,False,False
