id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1310794857548455938,2020-09-29 04:13:42,"RT @JINHWANVIBE: it's confirmed that iKON will be participating on the 2020 asia song festival this coming october 10, 2020! the show will…",None,None,None,None,None,0,475,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JINHWANVIBE', 'name': 'shyn ?', 'id': 988776092201701376, 'id_str': '988776092201701376', 'indices': [3, 15]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
2,1309019179501191174,2020-09-24 06:37:47,"RT @syh_bae: The sixth OST of tvN's Monday-Tuesday drama ""Record of Youth"" which participated by Bobby of iKON, will be released on various…",None,None,None,None,None,0,377,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'syh_bae', 'name': '??ish', 'id': 98337925, 'id_str': '98337925', 'indices': [3, 11]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
3,1308933481196449792,2020-09-24 00:57:15,RT @syh_bae: Jinhwan: We (iKON) are going to do vlive all together tomorrow,None,None,None,None,None,0,636,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'syh_bae', 'name': '??ish', 'id': 98337925, 'id_str': '98337925', 'indices': [3, 11]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
4,1308571841770827776,2020-09-23 01:00:13,"RT @JINHWANVIBE: ""i think this picture was taken at the supermarket""
- kim jinhwan

we're getting the glimpse of jinhwan learning english o…",None,None,None,None,None,0,285,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JINHWANVIBE', 'name': 'shyn ?', 'id': 988776092201701376, 'id_str': '988776092201701376', 'indices': [3, 15]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
5,1305689767195992064,2020-09-15 02:07:53,"""I hope you're happy
As much as you struggled""
~Everything
#5YearsWith7KON https://t.co/ewW2dHijLm",None,None,None,None,None,0,0,Twitter for Android,,"{'hashtags': [{'text': '5YearsWith7KON', 'indices': [59, 74]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1305689755707793408, 'id_str': '1305689755707793408', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Eh696jvUYAAEItO.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Eh696jvUYAAEItO.jpg', 'url': 'https://t.co/ewW2dHijLm', 'display_url': 'pic.twitter.com/ewW2dHijLm', 'expanded_url': 'https://twitter.com/_ghoststan/status/1305689767195992064/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 476, 'h': 268, 'resize': 'fit'}, 'large': {'w': 476, 'h': 268, 'resize': 'fit'}, 'medium': {'w': 476, 'h': 268, 'resize': 'fit'}}}]}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
6,1305688712819351552,2020-09-15 02:03:42,"RT @gnanique__: “We went through a lot but i think the fans went through more.” “So Im always sorry and thankful”  ??
Im so sorry iKON ????
#5…",None,None,None,None,None,0,78,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gnanique__', 'name': 'tako belle', 'id': 970887793495781376, 'id_str': '970887793495781376', 'indices': [3, 14]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
7,1305688680762232832,2020-09-15 02:03:34,"RT @DAMJISUS: Just when we all thought we won't get anything today from iKON's account for iKON's anniversary, here goes tgem dropping this…",None,None,None,None,None,0,69,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DAMJISUS', 'name': '???', 'id': 1106587701585731584, 'id_str': '1106587701585731584', 'indices': [3, 12]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
8,1305688537497395201,2020-09-15 02:03:00,"RT @mijingy0o: Loving iKON is honestly very bittersweet. We cried since WIN, smiled at MIX &amp; MATCH, then cried n smiled when they debuted n…",None,None,None,None,None,0,839,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mijingy0o', 'name': 'Zombin', 'id': 57272382, 'id_str': '57272382', 'indices': [3, 13]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
9,1305688516412669952,2020-09-15 02:02:55,"RT @babie_jun: "" It's meaningless without you.. ""

that words is really deep.. and if we see what happen rn just make it more hurt and sadd…",None,None,None,None,None,0,370,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'babie_jun', 'name': 'feb?? • busy', 'id': 1137073136, 'id_str': '1137073136', 'indices': [3, 13]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
10,1305688407100649472,2020-09-15 02:02:29,"RT @xxgnani131: ""We'll take care of you iKON
We'll protect you iKON
We'll shine on you iKON
Let's be happy iKON"" ?? 

HAPPY iKON DAY ?? 
#5…",None,None,None,None,None,0,379,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
11,1305688407100649472,2020-09-15 02:02:29,"RT @xxgnani131: ""We'll take care of you iKON
We'll protect you iKON
We'll shine on you iKON
Let's be happy iKON"" ?? 

HAPPY iKON DAY ?? 
#5…",None,None,None,None,None,0,379,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
12,1305688283813347328,2020-09-15 02:02:00,RT @syh_bae: “Thank u so much for always be by our side iKONIC.Because of u we were so happy all these time n we will continue to be happy…,None,None,None,None,None,0,501,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'syh_bae', 'name': '??ish', 'id': 98337925, 'id_str': '98337925', 'indices': [3, 11]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
13,1305688267392606208,2020-09-15 02:01:56,"RT @kjunhole: gnani____ ig update

“it’s been 5 years
thank you for protecting us ikonics” https://t.co/e1UlLXBhwt",None,None,None,None,None,0,915,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kjunhole', 'name': 'jun', 'id': 1371483204, 'id_str': '1371483204', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1305542123450773505, 'id_str': '1305542123450773505', 'indices': [91, 114], 'media_url': 'http://pbs.twimg.com/media/Eh43pOuXsAEmx05.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh43pOuXsAEmx05.jpg', 'url': 'https://t.co/e1UlLXBhwt', 'display_url': 'pic.twitter.com/e1UlLXBhwt', 'expanded_url': 'https://twitter.com/kjunhole/status/1305542131713482752/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 964, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 546, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1241, 'h': 1545, 'resize': 'fit'}}, 'source_status_id': 1305542131713482752, 'source_status_id_str': '1305542131713482752', 'source_user_id': 1371483204, 'source_user_id_str': '1371483204'}]}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
14,1305688249168310273,2020-09-15 02:01:51,"RT @D_dong_ii: ???? 5?? ???? :)
??? ??? ????? ???? 
???????",None,None,None,None,None,0,15420,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'D_dong_ii', 'name': '???', 'id': 968393343909617664, 'id_str': '968393343909617664', 'indices': [3, 13]}], 'urls': []}",278,False,278,False,kimbob,False,False,ko,drifting from fandom to fandom,False,_ghoststan,603,False,False
15,1305688216826126336,2020-09-15 02:01:44,"RT @binkopiko: ""shout out to all international iKONICs out there. thank y'all, this is all yours. thank you!""
— iKON BOBBY, MMA 2018",None,None,None,None,None,0,515,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'binkopiko', 'name': 'jv | lucky man out now', 'id': 1143205184782290945, 'id_str': '1143205184782290945', 'indices': [3, 13]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
16,1305688194986291200,2020-09-15 02:01:38,"RT @dayswohanbin: iKON apologizing on the day of their anniv bcs they felt like they haven't done enough dmn hurts. every update is enough,…",None,None,None,None,None,0,718,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dayswohanbin', 'name': 'ja', 'id': 1273514637808394242, 'id_str': '1273514637808394242', 'indices': [3, 16]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
17,1305688145166438401,2020-09-15 02:01:26,"RT @filmhanbin: Universe, I wish nothing more than to see these 7 precious boys, happy and healthy. Happy 5th birthday, happy iKON day! #5Y…",None,None,None,None,None,0,2872,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'filmhanbin', 'name': '131 ??', 'id': 1092415929726558209, 'id_str': '1092415929726558209', 'indices': [3, 14]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
18,1305524708960382978,2020-09-14 15:12:00,"""Without any reason and unconditionally, I love you""
#5YearsWith7KON https://t.co/sYsDd1P2dI",None,None,None,None,None,0,0,Twitter for Android,,"{'hashtags': [{'text': '5YearsWith7KON', 'indices': [53, 68]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1305524699690983424, 'id_str': '1305524699690983424', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/Eh4nzCKUYAA7z1d.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh4nzCKUYAA7z1d.jpg', 'url': 'https://t.co/sYsDd1P2dI', 'display_url': 'pic.twitter.com/sYsDd1P2dI', 'expanded_url': 'https://twitter.com/_ghoststan/status/1305524708960382978/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 735, 'h': 481, 'resize': 'fit'}, 'small': {'w': 680, 'h': 445, 'resize': 'fit'}, 'medium': {'w': 735, 'h': 481, 'resize': 'fit'}}}]}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
19,1304435761194782720,2020-09-11 15:04:55,RT @filmhanbin: ?? https://t.co/TYclTMfBWb,None,None,None,None,None,0,745,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'filmhanbin', 'name': '131 ??', 'id': 1092415929726558209, 'id_str': '1092415929726558209', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1304384368480120833, 'id_str': '1304384368480120833', 'indices': [18, 41], 'media_url': 'http://pbs.twimg.com/media/EhoarBXUcAEhsVd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EhoarBXUcAEhsVd.jpg', 'url': 'https://t.co/TYclTMfBWb', 'display_url': 'pic.twitter.com/TYclTMfBWb', 'expanded_url': 'https://twitter.com/filmhanbin/status/1304384376264777731/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 571, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 794, 'h': 667, 'resize': 'fit'}, 'large': {'w': 794, 'h': 667, 'resize': 'fit'}}, 'source_status_id': 1304384376264777731, 'source_status_id_str': '1304384376264777731', 'source_user_id': 1092415929726558209, 'source_user_id_str': '1092415929726558209'}]}",278,False,278,False,kimbob,False,False,und,drifting from fandom to fandom,False,_ghoststan,603,False,False
20,1304435735794049028,2020-09-11 15:04:49,RT @gnhwan_: Jkonic are legit the most loyal and amazing fandom out there. Selling out u*ly merch? Within a few hours. Charting a live fanm…,None,None,None,None,None,0,328,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gnhwan_', 'name': 'bea', 'id': 905076987210993664, 'id_str': '905076987210993664', 'indices': [3, 11]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
21,1304435687886733313,2020-09-11 15:04:37,RT @binkopiko: what if kim hanbin really establish his own company and ikon was one of the artist of it then hanbin will let chanwoo and yu…,None,None,None,None,None,0,625,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'binkopiko', 'name': 'jv | lucky man out now', 'id': 1143205184782290945, 'id_str': '1143205184782290945', 'indices': [3, 13]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
22,1304435659604594689,2020-09-11 15:04:31,"RT @dayswohanbin: do u know y love scenario won lot of awards n broke records with that small fandom? bcs iKON made it, not us, their music…",None,None,None,None,None,0,829,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dayswohanbin', 'name': 'ja', 'id': 1273514637808394242, 'id_str': '1273514637808394242', 'indices': [3, 16]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
23,1302258652238114817,2020-09-05 14:53:52,RT @gnhwan_: Yge is not only ignoring iKON and failing to protect them but also making the members play the punchbag for antis. The treatme…,None,None,None,None,None,0,192,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gnhwan_', 'name': 'bea', 'id': 905076987210993664, 'id_str': '905076987210993664', 'indices': [3, 11]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
24,1302258622999658497,2020-09-05 14:53:45,RT @iKON_INTL: We just want the best for the boys. I hope they will get back all the opportunities that they missed all these years. Solo a…,None,None,None,None,None,0,418,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iKON_INTL', 'name': 'iKON INTERNATIONAL', 'id': 2872696044, 'id_str': '2872696044', 'indices': [3, 13]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
25,1302258595967320064,2020-09-05 14:53:38,"RT @kjunhole: jinhwan on koniczone

“lately i didn’t take a lot of pictures ??
have a nice weekend ~~
i’d have a lot to say but that’s it”",None,None,None,None,None,0,510,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kjunhole', 'name': 'jun', 'id': 1371483204, 'id_str': '1371483204', 'indices': [3, 12]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,True
26,1301688742873149445,2020-09-04 01:09:15,"RT @jinaneeeya: ""name 5 person you love"" 

junhoe:
https://t.co/Pywo1EgOoW",None,None,None,None,None,0,224,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jinaneeeya', 'name': '????????', 'id': 1152477861560737792, 'id_str': '1152477861560737792', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1297482683048550401, 'id_str': '1297482683048550401', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1297482683048550401/pu/img/mi898JbvYNr7cjbm.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1297482683048550401/pu/img/mi898JbvYNr7cjbm.jpg', 'url': 'https://t.co/Pywo1EgOoW', 'display_url': 'pic.twitter.com/Pywo1EgOoW', 'expanded_url': 'https://twitter.com/hourlyjunhwan/status/1297482716930179072/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1297482716930179072, 'source_status_id_str': '1297482716930179072', 'source_user_id': 1193365706177298433, 'source_user_id_str': '1193365706177298433'}]}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
27,1301688592679317504,2020-09-04 01:08:39,"RT @jzzzindaeyo: 200903 Q&amp;A iKON MOBILE

Q: What iKON song do you want to hear in the summer?
BOBBY : AH YEAH

Q. What do you want to eat i…",None,None,None,None,None,0,194,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jzzzindaeyo', 'name': '???? | Jiwon¹²²¹ | BOBBY U MA:D ??', 'id': 322494066, 'id_str': '322494066', 'indices': [3, 15]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
28,1301321016954646529,2020-09-03 00:48:02,"RT @kjunhole: HANBIN NEW DEMO

https://t.co/Oej89KnQMw",None,None,None,None,None,0,498,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kjunhole', 'name': 'jun', 'id': 1371483204, 'id_str': '1371483204', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/Oej89KnQMw', 'expanded_url': 'https://soundcloud.com/user-337673291/demo-2017', 'display_url': 'soundcloud.com/user-337673291…', 'indices': [31, 54]}]}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,False
29,1299989586697842690,2020-08-30 08:37:24,RT @z0imEi: I always admire how Junhoe thinks. Being smart really makes a person sexier. But only a few appreciate this side of him. If you…,None,None,None,None,None,0,222,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'z0imEi', 'name': 'Zoi ??', 'id': 170457153, 'id_str': '170457153', 'indices': [3, 10]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,True
30,1299989586697842690,2020-08-30 08:37:24,RT @z0imEi: I always admire how Junhoe thinks. Being smart really makes a person sexier. But only a few appreciate this side of him. If you…,None,None,None,None,None,0,222,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'z0imEi', 'name': 'Zoi ??', 'id': 170457153, 'id_str': '170457153', 'indices': [3, 10]}], 'urls': []}",278,False,278,False,kimbob,False,False,en,drifting from fandom to fandom,False,_ghoststan,603,False,True
