id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311357865140129794,2020-09-30 17:30:53,@0dishelidze you’re famous!,1311331956718743554,0dishelidze,1311331956718743554,3351465250,3351465250,1,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '0dishelidze', 'name': 'allie \U0001fab4', 'id': 3351465250, 'id_str': '3351465250', 'indices': [0, 12]}], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
2,1311156795554123777,2020-09-30 04:11:54,@KVAlvarado19 making big moves!,1311149755620298752,KVAlvarado19,1311149755620298752,1120775089820184581,1120775089820184581,1,0,Twitter Web App,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KVAlvarado19', 'name': 'Karla Alvarado', 'id': 1120775089820184581, 'id_str': '1120775089820184581', 'indices': [0, 13]}], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
3,1311148730381471744,2020-09-30 03:39:51,personal news: I finished West Wing,None,None,None,None,None,22,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
4,1311115059494612992,2020-09-30 01:26:04,I wish this debate was being held on Zoom so we could just... mute Trump when he refuses to shut up,None,None,None,None,None,48,8,Twitter Web App,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
5,1311002261238222848,2020-09-29 17:57:50,"This is a @chelsea_daley, @malihakrm, and @jennyrdrguez stan account ??

lucky to work with the best and most creative women on #TeamOrange?? 

https://t.co/KvFYbTLErP",None,None,None,None,None,8,3,Twitter Web App,,"{'hashtags': [{'text': 'TeamOrange', 'indices': [127, 138]}], 'symbols': [], 'user_mentions': [{'screen_name': 'chelsea_daley', 'name': 'Chelsea Daley', 'id': 499864307, 'id_str': '499864307', 'indices': [10, 24]}, {'screen_name': 'malihakrm', 'name': 'Maliha', 'id': 1278471692038397952, 'id_str': '1278471692038397952', 'indices': [26, 36]}, {'screen_name': 'jennyrdrguez', 'name': 'Jenny', 'id': 1261146424227409921, 'id_str': '1261146424227409921', 'indices': [42, 55]}], 'urls': [{'url': 'https://t.co/KvFYbTLErP', 'expanded_url': 'https://www.theverge.com/2020/9/29/21492578/biden-florida-presidential-debate-battleground-state-digital-doorknocking?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter', 'display_url': 'theverge.com/2020/9/29/2149…', 'indices': [142, 165]}]}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
6,1310933771462549512,2020-09-29 13:25:41,RT @verge: Biden for Florida to activate thousands of volunteers for the debate https://t.co/5XOOGn2X1I https://t.co/7PRzHHpovr,None,None,None,None,None,0,25,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'verge', 'name': 'The Verge', 'id': 275686563, 'id_str': '275686563', 'indices': [3, 9]}], 'urls': [{'url': 'https://t.co/5XOOGn2X1I', 'expanded_url': 'https://www.theverge.com/2020/9/29/21492578/biden-florida-presidential-debate-battleground-state-digital-doorknocking?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter', 'display_url': 'theverge.com/2020/9/29/2149…', 'indices': [80, 103]}], 'media': [{'id': 1310897124633182208, 'id_str': '1310897124633182208', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/media/EjE9_UrXgAAZxWw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE9_UrXgAAZxWw.jpg', 'url': 'https://t.co/7PRzHHpovr', 'display_url': 'pic.twitter.com/7PRzHHpovr', 'expanded_url': 'https://twitter.com/verge/status/1310897126604500992/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 266, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 469, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 800, 'resize': 'fit'}}, 'source_status_id': 1310897126604500992, 'source_status_id_str': '1310897126604500992', 'source_user_id': 275686563, 'source_user_id_str': '275686563'}]}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
7,1310776485767241733,2020-09-29 03:00:41,abolish election analysts who have never knocked a door in their life,None,None,None,None,None,449,42,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
8,1310770491360260096,2020-09-29 02:36:52,"RT @mrotzie: I’m not mad when my Christian friends forget it’s a major Jewish holiday, sometimes I forget their important holidays and try…",None,None,None,None,None,0,302,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mrotzie', 'name': 'hodel in the streets, chava in the sheets', 'id': 2366083123, 'id_str': '2366083123', 'indices': [3, 11]}], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
9,1310745517379465216,2020-09-29 00:57:38,“yeah sure send me a ballot here’s my address” https://t.co/ylmvRWNr7A,None,None,None,None,None,170,8,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310745514577625088, 'id_str': '1310745514577625088', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/EjC0GdNWAAAsUN2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjC0GdNWAAAsUN2.jpg', 'url': 'https://t.co/ylmvRWNr7A', 'display_url': 'pic.twitter.com/ylmvRWNr7A', 'expanded_url': 'https://twitter.com/liitttlemermaid/status/1310745517379465216/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 851, 'h': 479, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 851, 'h': 479, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
10,1310709271156404226,2020-09-28 22:33:36,all I know is Br*d P*rscale was trending and I do not want to know why,1310707464418086912,liitttlemermaid,1310707464418086912,497994112,497994112,2,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
11,1310707464418086912,2020-09-28 22:26:25,coming back online post-yom kippur like https://t.co/JWKqvmxbg8,None,None,None,None,None,16,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310707459057684482, 'id_str': '1310707459057684482', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjCRfVWWkAI7Vu6.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjCRfVWWkAI7Vu6.jpg', 'url': 'https://t.co/JWKqvmxbg8', 'display_url': 'pic.twitter.com/JWKqvmxbg8', 'expanded_url': 'https://twitter.com/liitttlemermaid/status/1310707464418086912/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 498, 'h': 280, 'resize': 'fit'}, 'small': {'w': 498, 'h': 280, 'resize': 'fit'}, 'large': {'w': 498, 'h': 280, 'resize': 'fit'}}}]}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
12,1310392213117992961,2020-09-28 01:33:44,anyway I’ve already broken my pledge to be offline for Yom Kippur so if you see me online again please yell at me!!,None,None,None,None,None,16,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
13,1310336727333187584,2020-09-27 21:53:15,My MONTHLY medication literally costs more than 10x what Trump paid in taxes in 2016,None,None,None,None,None,60,6,Twitter Web App,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
14,1310328733602140160,2020-09-27 21:21:29,Trump literally instituted a travel ban on Muslim countries! Conservative ‘religious freedom’ advocates only ever attempt to force Christianity on everyone,1310328292986290180,liitttlemermaid,1310328292986290180,497994112,497994112,6,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
15,1310328733602140160,2020-09-27 21:21:29,Trump literally instituted a travel ban on Muslim countries! Conservative ‘religious freedom’ advocates only ever attempt to force Christianity on everyone,1310328292986290180,liitttlemermaid,1310328292986290180,497994112,497994112,6,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
16,1310328292986290180,2020-09-27 21:19:44,"If y’all want to talk about respecting others religions, the student body at my university was ? Jewish and the administration still scheduled exams on Yom Kippur (in classes taught by Jewish professors!).",1310327038901997570,liitttlemermaid,1310327038901997570,497994112,497994112,5,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
17,1310327038901997570,2020-09-27 21:14:45,conservatives literally only care about ‘religious freedom’ when they want the freedom to impose their religion on others,None,None,None,None,None,28,2,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2271,False,825,False,Ariel ?,False,False,en,NY ?? | just trying to make some good trouble | #BlackLivesMatter | she/her,False,liitttlemermaid,7597,False,False
