id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311169775800930304,2020-09-30 05:03:29,"@realDonaldTrump please come on Twitter. I’ll loan you $100.00 which will go toward your $450,000,000 you will be paying in  in in",None,realDonaldTrump,None,25073877,25073877,0,0,Twitter for iPhone,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
2,1311169268311089154,2020-09-30 05:01:28,@realDonaldTrump you are a BUM and a GRIFTER $720.00 of grifter mentality.,None,realDonaldTrump,None,25073877,25073877,0,0,Twitter for iPhone,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
3,1311168650460762112,2020-09-30 04:59:01,I am wondering as a black man. Am I to believe my friends who are white and all white people who are strong supporters of Donald Trump should it be assumed they are racist also. After all he did not denounce or condemn white supremacist.,None,None,None,None,None,0,0,Twitter for iPhone,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
4,1311167415829573633,2020-09-30 04:54:06,"@HillaryClinton as a black man we watched the debate as a group. There wasn’t a minute that went by during the debate that someone would say, “damn that’s what Hillary was trying to warm America about. @realDonaldTrump is a scourge on America.",None,HillaryClinton,None,1339835893,1339835893,1,1,Twitter for iPhone,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HillaryClinton', 'name': 'Hillary Clinton', 'id': 1339835893, 'id_str': '1339835893', 'indices': [0, 15]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [202, 218]}], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
5,1311166871530602496,2020-09-30 04:51:57,"RT @HillaryClinton: Thanks, I’m fine. But everyone better vote.",None,None,None,None,None,0,46250,Twitter for iPhone,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HillaryClinton', 'name': 'Hillary Clinton', 'id': 1339835893, 'id_str': '1339835893', 'indices': [3, 18]}], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,True
6,1311166760045940736,2020-09-30 04:51:30,@realDonaldTrump PLEASE! PLEASE! PLEASE! Will you sign on to your twitter account so we can FU#K with you! I promise it will be definitely “CATHARTIC” for you.,None,realDonaldTrump,None,25073877,25073877,0,0,Twitter for iPhone,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
7,1311165669556334593,2020-09-30 04:47:10,#GOP You all are really going to have to jump off of the mountain with @realDonaldTrump now! He totally fucked you especially for those of you who are up for election.,None,None,None,None,None,0,0,Twitter for iPhone,United States,"{'hashtags': [{'text': 'GOP', 'indices': [0, 4]}], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [71, 87]}], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
8,1311164323822174212,2020-09-30 04:41:49,@LindseyGrahamSC do you really feel @realDonaldTrump is your hero now #Buttboy?,None,LindseyGrahamSC,None,432895323,432895323,0,0,Twitter for iPhone,United States,"{'hashtags': [{'text': 'Buttboy', 'indices': [70, 78]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LindseyGrahamSC', 'name': 'Lindsey Graham', 'id': 432895323, 'id_str': '432895323', 'indices': [0, 16]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [36, 52]}], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
9,1311164096755138562,2020-09-30 04:40:55,#GOP #house and #senate you are so so FU#KED!,None,None,None,None,None,1,0,Twitter for iPhone,United States,"{'hashtags': [{'text': 'GOP', 'indices': [0, 4]}, {'text': 'house', 'indices': [5, 11]}, {'text': 'senate', 'indices': [16, 23]}], 'symbols': [], 'user_mentions': [], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
10,1311163618780643328,2020-09-30 04:39:01,@realDonaldTrump Hey! Where the Hell are you? You got your ass ROYALLY kicked by @JoeBiden ????,None,realDonaldTrump,None,25073877,25073877,0,0,Twitter for iPhone,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [81, 90]}], 'urls': []}",1935,False,2121,False,jeffrey,False,False,en,"Standing up for what you believe in and I tell it like it is! I BLOCK #Trump Trolls. #Resistance, #BLM #Police Reform; IMPEACH TRUMP",True,JAFFY1313,23003,False,False
